transcript_name,eps_name,confidence,transcript_filepath,eps_value
"PhotoMedex, Incorporated",PHOTOMEDEX INC,100.0,transcripts_by_company/FedEx_Corp_2006Q2.txt,-1.25
Intrepid Potash,INTREPID POTASH INC,100.0,transcripts_by_company/Intrepid_Potash_2010Q4.txt,0.33
WellPoint Inc.,WELLPOINT HEALTH NETWORKS,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.6
Standard Microsystems Corporation,STANDARD MICROSYSTEMS CORP,100.0,transcripts_by_company/Standard_Microsystems_Corporation_2006Q4.txt,-0.15
Vaalco Energy,"VAALCO ENERGY, INC.",100.0,transcripts_by_company/Vaalco_Energy_2009Q2.txt,-0.22
JA Solar Holdings Co. Ltd,JA SOLAR HOLDINGS CO LTD,100.0,transcripts_by_company/JA_Solar_Holdings_Co_Ltd_2009Q2.txt,-0.18
VeriSign Inc.,"VERISIGN, INC",100.0,transcripts_by_company/VeriSign_Inc_2017Q1.txt,0.33
TUI Travel plc,TUI AG,100.0,transcripts_by_company/TUI_Travel_Plc_2014Q2.txt,
GfK S.E.,K SEA,72.72727272727272,transcripts_by_company/GfK_SE_2009Q3.txt,0.24
UNITE Group PLC,UNITE GROUP PLC,100.0,transcripts_by_company/UNITE_Group_plc_2014Q1.txt,
"BPZ Resources, Inc",BPZ RESOURCES INC,100.0,transcripts_by_company/BPZ_Resources_Inc_2010Q4.txt,-0.08
"Chaparral Energy, Inc.",CHAPARRAL ENERGY INC,100.0,transcripts_by_company/Chaparral_Energy_Inc_2020Q2.txt,0.25
Metabasis Corporation,METABASIS THERAPEUTICS INC,100.0,transcripts_by_company/Metabasis_Corporation_2009Q2.txt,-0.23
ART Advanced Research Technologies Inc.,GT ADVANCED TECHNOLOGIES INC,93.33333333333331,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.29
Zumiez,ZUMIEZ INC,100.0,transcripts_by_company/Zumiez_2011Q2.txt,-0.06
"National Mentor Holdings, Inc.",NATIONAL RV HOLDINGS INC,91.89189189189187,transcripts_by_company/National_Mentor_Holdings_Inc_2007Q2.txt,-0.77
"Raser Technologies, Inc.",RASER TECHNOLOGIES INC,100.0,transcripts_by_company/Raser_Technologies_Inc_2010Q4.txt,-0.1
Astea International Inc.,ASTEA INTERNATIONAL INC,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,-1.94
AERT,AVERT INC,88.88888888888889,transcripts_by_company/Avenue_A_Inc_2003Q1.txt,0.2
Teekay Tankers Ltd.,TEEKAY CORP,100.0,transcripts_by_company/Teekay_Tankers_Ltd_2017Q2.txt,3.94
Telecom Corporation of New Zealand Ltd,TELECOM CORP OF NEW ZEALAND LTD,89.79591836734694,transcripts_by_company/Telecom_Corporation_Of_New_Zealand_Ltd_2011Q2.txt,0.24
PT Telekomunikasi Indonesia Tbk,PT TELEKOMUNIKASI,100.0,transcripts_by_company/PT_Telekomunikasi_Indonesia_TBK_2013Q3.txt,
Enterprise Inns,ENTERPRISE INNS,100.0,transcripts_by_company/Apogee_Enterprises_2007Q4.txt,
Bezeq Group,BEZEQ ISRAELI TELECOMM CORP LTD,100.0,transcripts_by_company/Principal_Financial_Group_2007Q3.txt,
Light Servicos de Eletricidade S.A.,SEVILLANA DE ELETRICIDAD,70.37037037037037,transcripts_by_company/FedEx_Express_2002Q1.txt,
BAUER AG,BAUER AG,100.0,transcripts_by_company/ConAgra_Foods_Inc_2006Q3.txt,
NAMISA,NAMIC USA CORP,80.0,transcripts_by_company/Tele_Celular_Sul_Participacoes_SA_2002Q4.txt,0.22
CSR Ltd,CSR LTD,100.0,transcripts_by_company/Everest_Re_Group_Ltd_2007Q3.txt,
"Flexible Solutions International, Inc.",FLEXIBLE SOLUTIONS INTERNATIONAL,100.0,transcripts_by_company/Flexible_Solutions_International_Inc_2023Q3.txt,-0.01
Parametric Technology Corporation,PARAMETRIC TECHNOLOGY CORP,100.0,transcripts_by_company/Meredith_Corporation_2007Q2.txt,0.07
"DTS, Inc., Incorporated",DTS INC,100.0,transcripts_by_company/DTS_Inc_Incorporated_2009Q2.txt,0.01
Crombie REIT,COLUMBIA REIT,80.0,transcripts_by_company/Everest_Re_Group_Ltd_2007Q3.txt,
TricoMarine,TRICONEX CORP,73.6842105263158,transcripts_by_company/Journal_Register_Co_2002Q2.txt,0.3
Famous Dave's of America,FAMOUS DAVE'S OF AMERICA,100.0,transcripts_by_company/Famous_Daves_of_America_2007Q2.txt,0.15
Yingli Green Energy Holding Company Limited,W HOLDING COMPANY INC,93.75,transcripts_by_company/WD-40_Company_2007Q3.txt,-8.88
Yucheng Technologies,YUCHENG TECHNOLOGIES LTD,100.0,transcripts_by_company/Yucheng_Technologies_2009Q4.txt,0.07
Longtop Financial Technologies,LONGTOP FINANCIAL TECHNOLOGIES L,100.0,transcripts_by_company/Longtop_Financial_Technologies_2010Q3.txt,0.98
Abu Dhabi National Energy Company,NATIONAL ENERGY GROUP,100.0,transcripts_by_company/WD-40_Company_2007Q3.txt,
DHT Maritime,DHT MARITIME INC,100.0,transcripts_by_company/DHT_Maritime_2009Q2.txt,0.26
"Zoltek Companies, Inc.",ZOLTEK COMPANIES INC,100.0,transcripts_by_company/Zoltek_Companies_Inc_2011Q3.txt,0.06
Trican,TRIAN,90.9090909090909,transcripts_by_company/CENTERPOINT_PPTYS_TR_2004Q3.txt,
TRANS WORLD CORP NEV,TRANS WORLD MUS,84.61538461538461,transcripts_by_company/Meredith_Corporation_2007Q2.txt,-0.29
Dundee Investment Trust,CARE INVESTMENT TRUST INC,86.48648648648648,transcripts_by_company/Centerpoint_Properties_Trust_2005Q4.txt,0.12
Cavco Industries Inc.,CAVCO INDUSTRIES INC,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,
Symbion Healthcare,SYMBION INC,100.0,transcripts_by_company/Everest_Re_Group_Ltd_2007Q3.txt,
"Axion Power International, Inc",AXION POWER INTERNATIONAL INC,100.0,transcripts_by_company/Axion_Power_International_Inc_2010Q2.txt,-0.09
Rambus Incorporated,RAMBUS INC,100.0,transcripts_by_company/Rambus_Incorporated_2017Q4.txt,-0.17
The Allied Defense Group Inc.,ALLIED GROUP INC,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.32
Brookfield Real Estate Service Fund,WASH REAL ESTATE,81.48148148148148,transcripts_by_company/Duke_Realty_Corporation_2007Q3.txt,0.2
MEGA Brands Inc.,IMEDIA BRANDS INC,83.33333333333333,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,-0.07
"Darden Restaurants, Inc.",DARDEN RESTAURANTS INC,100.0,transcripts_by_company/Darden_Restaurants_Inc_2006Q4.txt,2.75
Barratt Developments PLC,MI DEVELOPMENTS INC.,88.88888888888889,transcripts_by_company/Barratt_Developments_PLC_2011Q3.txt,-0.62
Pointer Telocation,POINTER TELOCATION LTD,100.0,transcripts_by_company/Pointer_Telocation_2009Q2.txt,0.0
Bank Leumi le-Israel B.M.,ANZ BANK,66.66666666666666,transcripts_by_company/Independence_Community_Bank_Corp_2002Q3.txt,
Kit Digital,KIT DIGITAL INC,100.0,transcripts_by_company/Digital_Insight_Corporation_2005Q1.txt,-7.55
Dimension Data Holdings Ltd,NETDIMENSIONS HOLDINGS LTD,84.44444444444444,transcripts_by_company/Datascope_2005Q2.txt,
Sandisk Corp.,SANDISK CORP,100.0,transcripts_by_company/Sandisk_Corp_2009Q2.txt,-0.48
SouthPeak Interactive Corp.,IBS INTERACTIVE INC,84.61538461538461,transcripts_by_company/FedEx_Corp_2006Q2.txt,-0.28
Seadrill,SEADRILL LTD (HAMILTON),100.0,transcripts_by_company/Avenue_A_Inc_2003Q1.txt,1.1
VWR International,VWR CORP,100.0,transcripts_by_company/Kimball_International_2007Q2.txt,0.25
Orbitz Worldwide Inc,ORBITZ INC,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.12
PPL,PPL CORP,100.0,transcripts_by_company/PPL_2004Q4.txt,0.6
"dELiA*s, Inc.",DELIA'S CORP-A,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,-0.13
UNITED FUEL &amp; ENERGY CORP,GULF UNITED ENERGY INC,84.21052631578948,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,
"CKE Restaurants, Incorporated",CKE RESTAURANTS INC,100.0,transcripts_by_company/CKE_Restaurants_Incorporated_2009Q2.txt,0.26
MACE SEC INTL INC,ACCEL INTL CP,76.92307692307692,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,-1.23
SAB Miller Plc,SAB MILLER,100.0,transcripts_by_company/SAB_Miller_plc_2005Q4.txt,
Playtech Ltd.,PLAYTECH PLC,100.0,transcripts_by_company/Tetra_Tech_2007Q2.txt,
"Equinix, Inc.",EQUINIX INC,100.0,transcripts_by_company/Equinix_Inc_2006Q4.txt,0.4
CapitalSource Bank,CAPITALSOURCE INC.,100.0,transcripts_by_company/CapitalSource_Bank_2013Q1.txt,-0.36
Orascom Telecom Holding S.A.E.,ORASCOM TELECOM HOLDING(OT),88.46153846153847,transcripts_by_company/Orascom_Telecom_Holding_SAE_2013Q2.txt,0.36
J. Crew,J CREW GROUP INC,100.0,transcripts_by_company/J_Crew_2009Q2.txt,0.32
CUISINE SOLUTIONS INC,CUISINE SOLUTIONS INC,100.0,transcripts_by_company/CUISINE_SOLUTIONS_INC_2009Q2.txt,-0.04
LTX-CREDENCE CORP,LTX-CREDENCE CORP,100.0,transcripts_by_company/LTX-CREDENCE_CORP_2010Q3.txt,-0.18
New Flyer Industries Inc.,IE INDUSTRIES,86.95652173913044,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.09
DOCUMENT CAPTURE TECHNOLOGIES,EP TECHNOLOGIES,88.88888888888889,transcripts_by_company/PSi_TECHNOLOGIES_HOLDINGS_2002Q1.txt,-0.05
MARCH NETWORKS CORP,ACT NETWORKS INC,84.61538461538461,transcripts_by_company/Meredith_Corporation_2007Q2.txt,-0.72
EUROSEAS LTD,EUROSEAS LTD,100.0,transcripts_by_company/Everest_Re_Group_Ltd_2007Q3.txt,0.58
RBC BEARINGS,BEARINGS INC,100.0,transcripts_by_company/Research_In_Motion_Limited_2007Q2.txt,0.87
Facebook,FACEBOOK INC,100.0,transcripts_by_company/Facebook_2014Q1.txt,0.12
MYR Group Inc,MYR GROUP INC,100.0,transcripts_by_company/Myr_Group_Inc_2011Q4.txt,0.14
Israel Disc Bank Ltd.,ISABELLA BANK CORP,68.9655172413793,transcripts_by_company/Independence_Community_Bank_Corp_2002Q3.txt,0.57
ICAP plc,ACAP,75.0,transcripts_by_company/ARM_Holdings_Plc_2002Q4.txt,
Vectura Group Plc,VECTURA GROUP PLC,100.0,transcripts_by_company/Vectura_Group_plc_2014Q2.txt,
Merrimac Industries,IE INDUSTRIES,86.95652173913044,transcripts_by_company/Electro_Scientific_Industries_Inc_2007Q3.txt,0.09
Rowan Companies Inc,ROWAN COMPANIES PLC,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.51
"Bridgepoint Education, Inc.",BRIDGEPOINT EDUCATION INC,100.0,transcripts_by_company/Bridgepoint_Education_Inc_2019Q1.txt,0.34
DC Consulting LLC,ANSWERTHINK CONSULTING GROUP,86.95652173913044,transcripts_by_company/NDCHealth_Corp_2002Q1.txt,0.17
Ajinomoto Co. Inc.,AJINOMOTO CO INC,100.0,transcripts_by_company/Ajinomoto_Co_Inc_2009Q2.txt,-1.56
Marks and Spencer Group plc,MARKS AND SPENCER GROUP PLC,100.0,transcripts_by_company/Marks_and_Spencer_Group_plc_2016Q2.txt,
Macquarie Media Group,CUR MEDIA INC,75.0,transcripts_by_company/Macquarie_Media_Group_2009Q4.txt,
ECOTALITY INC,ECOTALITY INC,100.0,transcripts_by_company/ECOTALITY_INC_2009Q4.txt,-0.01
AES Corp.,AES CHINA GENERA,100.0,transcripts_by_company/FedEx_Corp_2006Q2.txt,0.07
"TeleCommunication Systems, Inc.",NEXUS TELECOMMUNICATION SYSTEMS,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,-0.23
Perdigao S.A.,PERDIGAO,100.0,transcripts_by_company/A_Schulman_2007Q2.txt,0.07
DSW Inc.,DSW INC,100.0,transcripts_by_company/DSW_Inc_2018Q1.txt,0.16
"CKE Restaurants, Inc.",CKE RESTAURANTS INC,100.0,transcripts_by_company/CKE_Restaurants_Inc_2007Q2.txt,0.26
Roche Pharmaceuticals,ROCHE,100.0,transcripts_by_company/Idec_Pharmaceuticals_2002Q3.txt,2.36
Ruth's Hospitality Group Inc.,RUTH'S HOSPITALITY GROUP INC,100.0,transcripts_by_company/Ruths_Hospitality_Group_Inc_2009Q2.txt,0.16
Steve Madden,MADDEN STEVE LIMITED,100.0,transcripts_by_company/Steve_Madden_2016Q1.txt,0.37
Kirkland's Inc.,KIRKLAND'S INC,100.0,transcripts_by_company/Kirklands_Inc_2004Q4.txt,0.17
Pier 1 Imports Inc.,PIER 1 IMPORTS,100.0,transcripts_by_company/Pier_1_Imports_Inc_2009Q2.txt,-0.24
"Genesco, Inc.",GENESCO INC,100.0,transcripts_by_company/Genesco_Inc_2017Q1.txt,0.17
"Red Robin gourmet burgers, Inc",RED ROBIN GOURMET BURGERS INC,100.0,transcripts_by_company/Red_Robin_gourmet_burgers_Inc_2009Q2.txt,0.47
"J.Crew Group, Inc.",J CREW GROUP INC,86.95652173913044,transcripts_by_company/JCrew_Group_Inc_2010Q2.txt,0.32
Linktone Consulting Company Ltd,LINKTONE LTD,100.0,transcripts_by_company/Linktone_Consulting_Company_Ltd_2009Q3.txt,0.0
Eurocastle Investments Ltd.,ASR INVESTMENTS CORPORATION,84.61538461538461,transcripts_by_company/Everest_Re_Group_Ltd_2007Q3.txt,0.65
"VMware, Incorporated",VMWARE INC,100.0,transcripts_by_company/FedEx_Corp_2006Q2.txt,0.25
Nu Horizons Electronics Corp.,NU HORIZONS ELECTRONICS INC,100.0,transcripts_by_company/Nu_Horizons_Electronics_Corp_2006Q3.txt,-0.05
"The Reader's Digest Association, Inc.",READERS DIGEST ASSN INC,84.84848484848484,transcripts_by_company/The_Readers_Digest_Association_Inc_2006Q4.txt,0.71
Shinsei Bank Ltd,ASAHI BANK LTD.,72.72727272727272,transcripts_by_company/Independence_Community_Bank_Corp_2002Q3.txt,
VimpelCom,VIMPELCOM LTD,100.0,transcripts_by_company/VimpelCom_2016Q3.txt,0.28
Absa Group Limited,ASD GROUP INC,84.21052631578948,transcripts_by_company/Principal_Financial_Group_2007Q3.txt,
Eurobank Ergasias SA,PETROBRAS ENERGIA SA,64.70588235294117,transcripts_by_company/Eurobank_Ergasias_SA_2016Q2.txt,2.46
J.M. Smucker Co.,"SMUCKER, JM",100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.35
Quanex Building Products,QUANEX BUILDING PRODUCTS CORP,100.0,transcripts_by_company/Quanex_Building_Products_2010Q1.txt,-0.38
FMC Technologies Inc.,FMC CORP,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,1.22
Digital Realty Trust Inc.,DIGITAL REALTY TRUST INC,100.0,transcripts_by_company/Digital_Realty_Trust_Inc_2016Q1.txt,0.14
"Siemens Financial Services, Inc.",SIEMENS CORP,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,
Niko Resources Ltd.,INFO RESOURCES,85.71428571428571,transcripts_by_company/WPS_Resources_2007Q1.txt,
Hancock Fabrics,HANCOCK FABRICS INC,100.0,transcripts_by_company/Hancock_Fabrics_2005Q3.txt,-0.04
Ardea Biosciences Inc.,ARDEA BIOSCIENCES INC,100.0,transcripts_by_company/Ardea_Biosciences_Inc_2009Q4.txt,-0.44
"First Financial Bankshares, Inc.",FIRST FINANCIAL BANKSHARES INC,100.0,transcripts_by_company/First_Financial_Bankshares_Inc_2023Q2.txt,0.66
"Flowers Foods, Inc.",FLOWERS FOODS INC,100.0,transcripts_by_company/Flowers_Foods_Inc_2023Q2.txt,0.4
ATS Automation Tooling Systems Inc.,ATS CORP,100.0,transcripts_by_company/ATS_Automation_Tooling_Systems_Inc_2012Q1.txt,
HCP,HCP INC,100.0,transcripts_by_company/HCP_2011Q2.txt,0.17
Dr Pepper Snapple,DR PEPPER SNAPPLE GROUP INC,100.0,transcripts_by_company/Dr_Pepper_Snapple_2009Q2.txt,0.37
AEI Services LLC,ADIA SERVICES,88.0,transcripts_by_company/Advanced_Marketing_Services_2003Q3.txt,0.62
Nissan,NISSAN MOTOR CO LTD,100.0,transcripts_by_company/Nissan_2009Q2.txt,-1.14
The Shaw Group Inc.,SHAW GROUP INC,100.0,transcripts_by_company/The_Shaw_Group_Inc_2005Q2.txt,0.57
Oculus,OCULUS INNOVATIVE SCIENCES INC,100.0,transcripts_by_company/Oculus_2009Q2.txt,-1.09
G-III Apparel Group Ltd.,G-III APPAREL GROUP LTD,100.0,transcripts_by_company/G-III_Apparel_Group_Ltd_2010Q1.txt,-0.41
Consumers Energy,CONSUMERS GAS GROUP,81.81818181818181,transcripts_by_company/Journal_Register_Co_2002Q2.txt,0.1
KMG Chemicals Inc.,KMG CHEMICALS INC,100.0,transcripts_by_company/KMG_Chemicals_Inc_2016Q4.txt,0.25
"The Nasdaq OMX Group, Inc.",NASDAQ INC,100.0,transcripts_by_company/The_Nasdaq_OMX_Group_Inc_2016Q2.txt,0.48
Xinyuan Real Estate Company,XINYUAN REAL ESTATE CO LTD,100.0,transcripts_by_company/Xinyuan_Real_Estate_Company_2009Q2.txt,0.03
"American Capital, Ltd",AMERICAN CAPITAL AGENCY CORP,100.0,transcripts_by_company/American_Capital_LTD_2012Q3.txt,1.09
Baker Hughes Inc.,BAKER HUGHES A GE CO,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.05
Ventas VTR,VENTAS INC,100.0,transcripts_by_company/Ventas_VTR_2009Q2.txt,0.52
Kilroy Realty Corporation,KILROY REALTY CORP,100.0,transcripts_by_company/Kilroy_Realty_Corporation_2005Q3.txt,0.23
"Streamline Health Solutions, Incorporated",STREAMLINE HEALTH SOLUTIONS INC,100.0,transcripts_by_company/Streamline_Health_Solutions_Incorporated_2009Q2.txt,0.0
Gran Tierra Energy Inc.,GRAN TIERRA ENERGY INC,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.06
Doral Financial Corp.,DORAL FINANCIAL CORP,100.0,transcripts_by_company/FedEx_Corp_2006Q2.txt,-0.42
Naspers Limited,NASPERS LTD,100.0,transcripts_by_company/Research_In_Motion_Limited_2007Q2.txt,
LIFE PARTNERS HOLDINGS INC,LIFE PARTNERS HOLDINGS INC,100.0,transcripts_by_company/LIFE_PARTNERS_HOLDINGS_INC_2009Q2.txt,1.83
Inovio Biomedical Corporation,INOVIO BIOMEDICAL CORP,100.0,transcripts_by_company/Inovio_Biomedical_Corporation_2006Q1.txt,-0.08
"Oclaro, Inc.",OCLARO INC,100.0,transcripts_by_company/Oclaro_Inc_2010Q2.txt,-0.03
BIOLASE Technology,BIOLASE TECHNOLOGY INC,100.0,transcripts_by_company/Biolase_Technology_2006Q3.txt,-0.19
"Bob Evans Farms, Inc.",BOB EVANS FARMS INC,100.0,transcripts_by_company/Bob_Evans_Farms_Inc_2006Q4.txt,2.05
International Paper,INTERNATIONAL PAPER CO,100.0,transcripts_by_company/International_Paper_2006Q4.txt,0.08
TOP Ships,TOP SHIPS INC,100.0,transcripts_by_company/Topps_Company_Inc_2002Q2.txt,-2.76
VTech Holdings Limited,GTECH HOLDINGS CORPORATION,92.85714285714286,transcripts_by_company/PSi_TECHNOLOGIES_HOLDINGS_2002Q1.txt,0.4
"Lakeland Industries, Inc.",LAKELAND INDUSTRIES INC,100.0,transcripts_by_company/Lakeland_Industries_Inc_2007Q2.txt,0.02
Davis + Henderson,HENDERSON INVESTMENT LTD,75.0,transcripts_by_company/On_Assignment_2007Q3.txt,0.76
C&amp;D Technologies Inc.,EP TECHNOLOGIES,88.88888888888889,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,-0.05
"America’s Car-Mart, Inc.",AMERICA'S CAR-MART INC,100.0,transcripts_by_company/Americas_Car-Mart_Inc_2009Q2.txt,1.52
SAIC Inc.,SAIC INC,100.0,transcripts_by_company/SAIC_Inc_2009Q2.txt,0.29
Halfords Group Plc,HALLWOOD GROUP INC,78.57142857142857,transcripts_by_company/Principal_Financial_Group_2007Q3.txt,1.94
XCEED MORTGAGE CORP,XCEED INC.,100.0,transcripts_by_company/Meredith_Corporation_2007Q2.txt,
GT Solar,GT SOLAR INTERNATIONAL INC,100.0,transcripts_by_company/GT_Solar_2009Q2.txt,0.61
Crucell N.V.,CRUCELL,100.0,transcripts_by_company/Crucell_NV_2007Q2.txt,-0.03
"Accuray, Inc.",ACCURAY INC,100.0,transcripts_by_company/Accuray_Inc_2014Q4.txt,0.02
Schawk,SCHAWK INC,100.0,transcripts_by_company/G_and_K_Services_Inc_2003Q3.txt,0.59
Logility Inc.,LOGILITY INC.,100.0,transcripts_by_company/Logility_Inc_2009Q2.txt,0.45
QBE Insurance Group Ltd.,EMC INSURANCE GROUP INC,89.47368421052632,transcripts_by_company/QBE_Insurance_Group_Ltd_2010Q2.txt,0.48
Intel Corp.,INTEL CORP,100.0,transcripts_by_company/Intel_Corp_2007Q1.txt,-0.07
American Express Co.,AMERICAN EXPRESS CO,100.0,transcripts_by_company/American_Express_Co_2007Q1.txt,0.54
The J.M. Smucker Company,"SMUCKER, JM",100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.35
Aurora Investment Management L.L.C.,PZENA INVESTMENT MANAGEMENT INC,87.5,transcripts_by_company/Aurora_Investment_Management_LLC_2009Q2.txt,0.04
Tieto Oyj,YIT OYJ,75.0,transcripts_by_company/Tieto_Oyj_2018Q3.txt,
Kendle International Inc.,KENDLE INTERNATIONAL INC,100.0,transcripts_by_company/Kendle_International_Inc_2004Q2.txt,0.43
Toll Holdings Limited,OSL HOLDINGS INC,88.0,transcripts_by_company/PSi_TECHNOLOGIES_HOLDINGS_2002Q1.txt,
OneSteel Limited,FANSTEEL INC,75.0,transcripts_by_company/Capital_One_2007Q1.txt,7.0
"Henry Schein, Incorporated",HENRY SCHEIN INC,100.0,transcripts_by_company/Henry_Schein_Incorporated_2009Q2.txt,0.64
"InVentiv Health, Inc.",INVENTIV HEALTH INC,100.0,transcripts_by_company/InVentiv_Health_Inc_2009Q4.txt,0.24
"CreditSights, Inc.",CREDITRUST CORPORATION,72.72727272727272,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.28
Switch &amp; Data,DATA SWITCH CORP,100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.13
"BGC Partners, Inc.",BGC PARTNERS INC,100.0,transcripts_by_company/BGC_Partners_Inc_2017Q3.txt,0.11
First Financial Bankshares,FIRST FINANCIAL BANKSHARES INC,100.0,transcripts_by_company/First_Financial_Bankshares_2010Q1.txt,0.65
SYNUTRA INTL INC,SYNCOR INTL,78.26086956521739,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.43
BAKBONE SOFTWARE INC,BAKBONE SOFTWARE INC,100.0,transcripts_by_company/BAKBONE_SOFTWARE_INC_2010Q1.txt,
Asciano Group,AMSCAN HOLDINGS,76.92307692307692,transcripts_by_company/Principal_Financial_Group_2007Q3.txt,0.31
"StemCells, Inc.",STEMCELLS INC,100.0,transcripts_by_company/StemCells_Inc_2011Q3.txt,-0.1
Carnival Corporation &amp; Carnival plc,CARNIVAL CORP,100.0,transcripts_by_company/Carnival_Corporation_and_Carnival_plc_2016Q3.txt,0.33
TransGlobe Energy Corp.,TRANSGLOBE ENERGY CORP,100.0,transcripts_by_company/FedEx_Corp_2006Q2.txt,-0.08
ProAssurance Corp.,PROASSURANCE CORP,100.0,transcripts_by_company/ProAssurance_Corp_2014Q1.txt,0.99
"AvalonBay Communities, Inc.",AVALONBAY COMMUNITIES INC,100.0,transcripts_by_company/AvalonBay_Communities_Inc_2023Q3.txt,0.22
"AmTrust Financial Services, Inc.",AMTRUST FINANCIAL SERVICES INC,100.0,transcripts_by_company/AmTrust_Financial_Services_Inc_2017Q1.txt,0.5
"WebMD, LLC",WEBMD CORP,100.0,transcripts_by_company/WebMD_2005Q1.txt,0.13
"Quality Systems, Inc.",QUALITY SYS INC,84.61538461538461,transcripts_by_company/Quality_Systems_Inc_2006Q2.txt,1.62
DMRC Corporation,DMRC,100.0,transcripts_by_company/Meredith_Corporation_2007Q2.txt,0.03
Deutsche Borse AG,DEUTSCHE POST AG,81.48148148148148,transcripts_by_company/Deutsche_Borse_AG_2011Q2.txt,
ARCADIA RES INC,ARCADIA RESOURCES INC,78.57142857142857,transcripts_by_company/ARCADIA_RES_INC_2010Q2.txt,-0.35
First Solar Inc.,FIRST SOLAR INC,100.0,transcripts_by_company/First_Solar_Inc_2015Q1.txt,2.11
Goodman Group,GOODMAN FIELDER,100.0,transcripts_by_company/Principal_Financial_Group_2007Q3.txt,
Deutsche Post DHL,DEUTSCHE POST AG,100.0,transcripts_by_company/Deutsche_Post_DHL_2016Q4.txt,
National Bank of Greece SA,NATIONAL BANK OF GREECE SA,100.0,transcripts_by_company/National_Bank_of_Greece_SA_2015Q2.txt,
HB Fuller Co.,H.B. FULLER COMPANY,100.0,transcripts_by_company/HB_Fuller_Co_2011Q3.txt,0.36
Illinois Tool Works,ILLINOIS TOOL WORKS INC,100.0,transcripts_by_company/Illinois_Tool_Works_2005Q4.txt,0.36
Prudential Financial Inc.,PRUDENTIAL FINANCIAL INC,100.0,transcripts_by_company/Prudential_Financial_Inc_2006Q1.txt,1.88
U S GEOTHERMAL INC,US GEOTHERMAL INC.,88.88888888888889,transcripts_by_company/U_S_GEOTHERMAL_INC_2009Q2.txt,-0.09
"The Shaw Group, Inc.",SHAW GROUP INC,100.0,transcripts_by_company/The_Shaw_Group_Inc_2007Q1.txt,0.57
Watson Pharmaceuticals Inc.,WATSON PHARMACEUTICALS INC,100.0,transcripts_by_company/Watson_Pharmaceuticals_Inc_2004Q1.txt,0.61
Intelligent Systems,INTELLIGENT SYSTEMS CORP,100.0,transcripts_by_company/Intelligent_Systems_2006Q1.txt,-0.04
Methode Electronics Inc.,METHODE ELECTRONICS INC,100.0,transcripts_by_company/Methode_Electronics_Inc_2006Q4.txt,-0.46
"Donegal Group, Inc.",DONEGAL GROUP INC,100.0,transcripts_by_company/Donegal_Group_Inc_2007Q2.txt,0.18
TechPrecision Corporation,TECHPRECISION CORP,100.0,transcripts_by_company/TechPrecision_Corporation_2023Q1.txt,
Neogen Corp.,NEOGEN CORP,100.0,transcripts_by_company/Neogen_Corp_2009Q3.txt,0.92
Covidien Plc.,COVIDIEN LTD,100.0,transcripts_by_company/Journal_Register_Co_2002Q2.txt,0.69
RehabCare,REHABCARE GROUP INCORPORATED,100.0,transcripts_by_company/RehabCare_2006Q1.txt,0.43
