transcript_name,eps_name,confidence,transcript_filepath,eps_value
Scholastic,SCHOLASTIC CORP,100.0,transcripts_by_company/Scholastic_2007Q3.txt,0.31
Standard Motor Products,STANDARD MOTOR PRODUCTS INC,100.0,transcripts_by_company/Standard_Motor_Products_2007Q2.txt,0.03
OMNOVA,OMNOVA SOLUTIONS,100.0,transcripts_by_company/OMNOVA_2002Q1.txt,0.01
Conexant Systems,CONEXANT SYSTEMS INC-W/I,100.0,transcripts_by_company/Conexant_Systems_2007Q2.txt,-0.34
NDCHealth Corp.,NDCHEALTH CORP,100.0,transcripts_by_company/NDCHealth_Corp_2002Q1.txt,0.34
JPR,"SPR, INC.",66.66666666666666,transcripts_by_company/Toys_R_Us_2004Q2.txt,0.02
Prima Energy,PRIMA ENERGY CORPORATION,100.0,transcripts_by_company/Duke_Energy_Corporation_CurrentQ4.txt,1.49
"CSK Auto, Inc.",CSK AUTO CP,100.0,transcripts_by_company/CSK_Auto_Inc_2005Q3.txt,0.56
PMC-Sierra,PMC-SIERRA INC,100.0,transcripts_by_company/PMC-Sierra_2007Q1.txt,-0.37
Integrated Device Tech. Inc.,INTEGRATED DEVICE TECH INC,100.0,transcripts_by_company/Integrated_Device_Tech_Inc_2002Q1.txt,-0.11
Cypress Semiconductor Corp.,CYPRESS SEMICONDUCTOR CORP,100.0,transcripts_by_company/Cypress_Semiconductor_Corp_2006Q2.txt,-0.1
"Engage, Inc.",ENGAGE INC.,100.0,transcripts_by_company/Engage_Inc_2002Q1.txt,-0.03
Engelhard,ENGELHARD CORP,100.0,transcripts_by_company/Engelhard_2003Q4.txt,1.71
Gateway,GATEWAY 2000 INCORPORATED,100.0,transcripts_by_company/G_and_K_Services_Inc_2003Q3.txt,0.62
Robbins and Myers,ROBBINS & MYERS INC,92.85714285714286,transcripts_by_company/Robbins_and_Myers_2002Q1.txt,0.34
Alexander &amp; Baldwin,ALEXANDER & BALDWIN INC (HAWAII),100.0,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.16
Stein Mart,STEIN MART INC,100.0,transcripts_by_company/Stein_Mart_2004Q4.txt,0.37
ACTV,ACTV INC,100.0,transcripts_by_company/ACTV_2002Q1.txt,-0.65
Bausch &amp; Lomb Inc.,BAUSCH & LOMB INCORPORATED,100.0,transcripts_by_company/Bausch_and_Lomb_Inc_2004Q1.txt,0.24
"GenCorp, Inc.",GENCORP INC,100.0,transcripts_by_company/GenCorp_Inc_2002Q1.txt,1.07
UnumProvident,UNUMPROVIDENT CORP,100.0,transcripts_by_company/UNUMProvident_2003Q2.txt,0.62
Standex International Corporation,STANDEX INTERNATIONAL CORP,100.0,transcripts_by_company/Standex_International_Corporation_2007Q1.txt,0.29
"La-Z-Boy, Inc.",LA-Z-BOY CHAIR,100.0,transcripts_by_company/La-Z-Boy_Inc_2006Q2.txt,1.23
National Processing,NATIONAL PROCESSING,100.0,transcripts_by_company/National_Processing_2003Q2.txt,0.23
Equifax,EQUIFAX INC,100.0,transcripts_by_company/Equifax_2016Q2.txt,0.3
Paxar Corporation,PAXAR CORPORATION,100.0,transcripts_by_company/Paxar_Corporation_2007Q1.txt,0.19
The Scotts Company,SCOTTS CO,100.0,transcripts_by_company/The_Scotts_Company_2004Q4.txt,3.01
Tektronix,TEKTRONIX INC,100.0,transcripts_by_company/Tektronix_2007Q1.txt,0.13
Wendy's International,WENDY'S CO,100.0,transcripts_by_company/Kimball_International_2007Q2.txt,0.05
Richardson Electronics,RICHARDSON CO,100.0,transcripts_by_company/Electro_Scientific_Industries_Inc_2007Q3.txt,-0.63
Cascade Natural Gas,CASCADE CORP,100.0,transcripts_by_company/Cascade_Natural_Gas_2006Q2.txt,1.15
Vion,VION PHARMACEUTICALS INC,100.0,transcripts_by_company/Vion_2002Q1.txt,-0.51
Qwest,QWEST COMMUNICATIONS INTL,100.0,transcripts_by_company/Qwest_2007Q2.txt,-0.1
Brown &amp; Brown Insurance,BROWN & BROWN INC,100.0,transcripts_by_company/Brown_and_Brown_Insurance_2016Q4.txt,0.31
Reinsurance Group of America,REINSURANCE GROUP OF AMERICA,100.0,transcripts_by_company/Reinsurance_Group_of_America_2012Q1.txt,0.65
CLARCOR,CLARCOR INC,100.0,transcripts_by_company/Clarcor_2003Q1.txt,0.32
Armor Holdings,ARMOR ALL PRODS,100.0,transcripts_by_company/PSi_TECHNOLOGIES_HOLDINGS_2002Q1.txt,0.16
"Electro Scientific Industries, Inc.",ELECTRO SCIENTIFIC INDUSTRIES IN,100.0,transcripts_by_company/Electro_Scientific_Industries_Inc_2007Q3.txt,-0.08
H.B. Fuller,H.B. FULLER COMPANY,100.0,transcripts_by_company/HB_Fuller_2002Q1.txt,0.2
Manitowoc Company,MANITOWOC COMPANY INC,100.0,transcripts_by_company/WD-40_Company_2007Q3.txt,-0.26
Keycorp,KEYCORP NY,100.0,transcripts_by_company/FedEx_Corp_2006Q2.txt,3.84
"Topps Company, Inc.",TOPPS COMPANY INC,100.0,transcripts_by_company/Topps_Company_Inc_2002Q2.txt,0.64
"New Focus, Inc.",NEW FOCUS,100.0,transcripts_by_company/New_Focus_Inc_2002Q2.txt,-0.2
"Brio Software, Inc.",BRIO SOFTWARE INC,100.0,transcripts_by_company/Brio_Software_Inc_2002Q2.txt,-0.55
Covance Inc.,COVANCE INC,100.0,transcripts_by_company/Covance_Inc_2006Q3.txt,0.19
