Cusip,Company_Name,Ticker,anndats,transcript_date,actual_eps,forecast_eps
30252010,FNB CORP,FNB,2016-07-21,2016-07-21,0.19,0.22
30252010,FNB CORP,FNB,2017-04-25,2017-04-25,0.23,0.23
30252010,FNB CORP,FNB,2017-07-20,2017-07-20,0.23,0.24
30252010,FNB CORP,FNB,2017-10-19,2017-10-19,0.24,0.24
30252010,FNB CORP,FNB,2018-01-23,2018-01-23,0.24,0.93
30252010,FNB CORP,FNB,2018-04-24,2018-04-24,0.26,0.26
30252010,FNB CORP,FNB,2018-07-24,2018-07-24,0.27,0.27
30252010,FNB CORP,FNB,2018-10-23,2018-10-23,0.29,0.28
30252010,FNB CORP,FNB,2019-01-22,2019-01-22,0.3,1.11
30252010,FNB CORP,FNB,2019-04-23,2019-04-23,0.29,0.27
30252010,FNB CORP,FNB,2019-07-23,2019-07-23,0.29,0.29
30252010,FNB CORP,FNB,2019-10-17,2019-10-17,0.31,0.3
30252010,FNB CORP,FNB,2020-01-21,2020-01-21,0.3,1.18
30252010,FNB CORP,FNB,2020-04-23,2020-04-23,0.16,0.26
30253R1X,FNX MINING CO INC,FNX,2006-05-16,2006-05-16,0.03,0.04
30257X10,FB FINANCIAL CORP,FBK,2020-01-21,2020-01-21,0.7,2.81
30257X10,FB FINANCIAL CORP,FBK,2022-01-18,2022-01-18,1.02,3.75
30257X10,FB FINANCIAL CORP,FBK,2023-01-17,2023-01-17,0.81,2.61
30258N10,FAT BRANDS INC,FAT,,2020-08-06,,
30258N10,FAT BRANDS INC,FAT,,2020-11-10,,
30258N10,FAT BRANDS INC,FAT,2021-03-25,2021-03-25,-0.2,-0.74
30258N10,FAT BRANDS INC,FAT,2020-08-06,2021-03-25,-0.2,-0.74
30258N10,FAT BRANDS INC,FAT,2020-11-10,2021-03-25,-0.2,-0.74
30258N10,FAT BRANDS INC,FAT,2021-05-11,2021-05-11,-0.2,0.12
30258N10,FAT BRANDS INC,FAT,2021-08-05,2021-08-05,-0.09,0.03
30258N10,FAT BRANDS INC,FAT,2021-11-04,2021-11-04,-0.26,-0.1
30258N10,FAT BRANDS INC,FAT,2022-03-21,2022-03-21,-1.38,-1.04
30258N10,FAT BRANDS INC,FAT,2022-05-05,2022-05-05,-1.45,-0.85
30258N10,FAT BRANDS INC,FAT,2022-07-28,2022-07-28,-0.5,-0.88
30258N10,FAT BRANDS INC,FAT,2022-10-20,2022-10-20,-1.42,-0.85
30258N10,FAT BRANDS INC,FAT,2023-02-22,2023-02-22,-3.41,-4.35
30258N10,FAT BRANDS INC,FAT,2023-05-08,2023-05-08,-1.95,-1.04
30258N10,FAT BRANDS INC,FAT,2023-08-03,2023-08-03,-0.53,-1.57
30258N10,FAT BRANDS INC,FAT,2023-10-26,2023-10-26,-1.59,-1.28
30260D10,FIGS INC,FIGS,2021-11-10,2021-11-10,0.05,0.03
30260D10,FIGS INC,FIGS,2022-03-08,2022-03-08,0.09,0.22
