CUSIP,fiscal_year,quarter,actual_eps,forecast_eps,cusip,eps_name,transcript_name,confidence_level,filepath,transcript_date,eps_date,eps_value,eps_date_from_mapping,confidence_level_from_mapping
45685K10,2020.0,4.0,0.49,0.05,45685K10,INFUSYSTEM HOLDINGS INC,InfuSystem Holdings Inc.,high,transcripts_by_company/InfuSystem_Holdings_Inc_2020Q4.txt,2020-11-12,2020-11-12,0.14,2020-11-12,high
44485910,2018.0,4.0,2.65,2.82,44485910,HUMANA INC,Humana Inc.,high,transcripts_by_company/Humana_Inc_2018Q4.txt,2018-11-07,2018-11-07,4.58,2018-11-07,high
16890510,2003.0,2.0,0.21,0.52,16890510,CHILDREN'S PLACE INC,"The Children's Place Retail Stores, Inc",high,transcripts_by_company/The_Childrens_Place_Retail_Stores_Inc_2003Q2.txt,2003-05-15,2003-05-15,0.21,2003-05-15,high
14313010,2013.0,4.0,0.47,0.45,14313010,CARMAX INC,"CarMax, Inc.",high,transcripts_by_company/CarMax_Inc_2013Q4.txt,2013-12-20,2013-12-20,0.47,2013-12-20,high
G0464B10,2008.0,1.0,1.2,1.1,G0464B10,ARGO GROUP INTERNATIONAL HOLDING,"Argo Group International Holdings, Ltd.",high,transcripts_by_company/Argo_Group_International_Holdings_Ltd_2008Q1.txt,2008-02-14,2008-02-13,13.6,2008-02-13,high
68401010,2007.0,2.0,0.37,0.37,68401010,OPTIONSXPRESS HOLDINGS INC,"optionsXpress Holdings, Inc.",high,transcripts_by_company/optionsXpress_Holdings_Inc_2007Q2.txt,2007-04-19,2007-04-19,0.34,2007-04-19,high
96216610,2020.0,1.0,0.18,0.18,96216610,WEYERHAEUSER CO,Weyerhaeuser Company,high,transcripts_by_company/Weyerhaeuser_Company_2020Q1.txt,2020-01-31,2020-01-31,0.39,2020-01-31,high
21887L10,2016.0,3.0,-0.42,-0.33,21887L10,CORIUM INTERNATIONAL INC,"Corium International, Inc.",high,transcripts_by_company/Corium_International_Inc_2016Q3.txt,2016-08-04,2016-08-04,-0.34,2016-08-04,high
90421410,2004.0,2.0,0.32,0.35,90421410,UMPQUA HOLDINGS CORP,Umpqua Holdings Corp.,high,transcripts_by_company/Umpqua_Holdings_Corp_2004Q2.txt,2004-04-15,2004-04-15,0.3,2004-04-15,high
89869710,2012.0,2.0,0.01,0.02,89869710,TUCOWS INC,Tucows Inc.,high,transcripts_by_company/Tucows_Inc_2012Q2.txt,2012-05-08,2012-05-08,0.02,2012-05-08,high
82933R10,2022.0,3.0,-0.33,-0.4,82933R10,SINGULAR GENOMICS SYSTEMS INC,"Singular Genomics Systems, Inc.",high,transcripts_by_company/Singular_Genomics_Systems_Inc_2022Q3.txt,2022-08-09,2022-08-09,-0.34,2022-08-09,high
04341Y10,2014.0,2.0,0.0,-0.01,04341Y10,ASANKO GOLD INC,San Gold Corporation,high,transcripts_by_company/San_Gold_Corporation_2014Q2.txt,2014-05-13,2014-05-14,-0.03,2014-05-14,high
M2197Q10,2022.0,1.0,0.01,0.01,M2197Q10,CELLEBRITE DI LTD,Cellebrite DI Ltd.,high,transcripts_by_company/Cellebrite_DI_Ltd_2022Q1.txt,2022-02-16,2022-02-16,0.24,2022-02-16,high
69515610,2006.0,1.0,0.09,0.08,69515610,PACKAGING CORP OF AMERICA,Packaging Corporation of America,high,transcripts_by_company/Packaging_Corporation_of_America_2006Q1.txt,2006-01-24,2006-01-23,0.44,2006-01-23,high
92552V10,2007.0,3.0,0.35,0.37,92552V10,VIASAT INC,"ViaSat, Inc.",high,transcripts_by_company/ViaSat_Inc_2007Q3.txt,2007-08-08,2007-08-08,0.21,2007-08-08,high
00760J10,2014.0,3.0,,,00760J10,AEHR TEST SYSTEMS,Aehr Test Systems,high,transcripts_by_company/Aehr_Test_Systems_2014Q3.txt,2014-09-30,2014-09-30,,2014-09-30,high
37940G10,2014.0,3.0,,0.04,37940G10,GLOBALSCAPE INC,GlobalCollect,high,transcripts_by_company/GlobalCollect_2014Q3.txt,2014-07-02,2014-08-13,,2014-08-13,high
73172K10,2007.0,4.0,0.42,0.39,73172K10,POLYCOM INC,Polycom Incorporated,high,transcripts_by_company/Polycom_Incorporated_2007Q4.txt,2007-10-17,2007-10-17,0.35,2007-10-17,high
20038K10,2009.0,1.0,-0.01,,20038K10,COMFORCE CORPORATION,COMFORCE Corporation,high,transcripts_by_company/COMFORCE_Corporation_2009Q1.txt,2009-03-24,2009-03-24,0.18,2009-03-24,high
74913K10,2007.0,1.0,-0.06,-0.04,74913K10,QUOVADX INC,Quovadx Inc.,high,transcripts_by_company/Quovadx_Inc_2007Q1.txt,2007-03-08,2007-03-08,-0.18,2007-03-08,high
14457710,2011.0,2.0,0.24,0.46,14457710,CARRIZO OIL & GAS INC,Carrizo Oil &amp; Gas,high,transcripts_by_company/Carrizo_Oil_and_Gas_2011Q2.txt,2011-06-06,2011-08-09,0.24,2011-08-09,high
73179P10,2019.0,1.0,0.64,0.75,73179P10,POLYONE CORPORATION,PolyOne Corporation,high,transcripts_by_company/PolyOne_Corporation_2019Q1.txt,2019-01-29,2019-01-29,2.43,2019-01-29,high
39115V1X,2018.0,2.0,-0.02,0.01,39115V1X,GREAT PANTHER SILVER LTD,Great Panther Silver Limited,high,transcripts_by_company/Great_Panther_Silver_Limited_2018Q2.txt,2018-05-03,2018-05-02,0.0,2018-05-02,high
08579W10,2015.0,4.0,0.35,0.35,08579W10,BERRY PLASTICS GROUP INC,"Berry Plastics Group, Inc.",high,transcripts_by_company/Berry_Plastics_Group_Inc_2015Q4.txt,2015-11-13,2015-11-13,1.73,2015-11-13,high
37731610,2008.0,2.0,0.06,0.02,37731610,"GLATFELTER, PH",Glatfelter,high,transcripts_by_company/Glatfelter_2008Q2.txt,2008-04-29,2008-04-29,0.25,2008-04-29,high
26414710,2018.0,2.0,0.16,0.14,26414710,DUCOMMUN INC,Ducommun Incorporated,high,transcripts_by_company/Ducommun_Incorporated_2018Q2.txt,2018-05-10,2018-05-10,0.25,2018-05-10,high
33904110,2017.0,1.0,1.96,1.89,33904110,FLEETCOR TECHNOLOGIES INC,Fleetcor Technologies Inc.,high,transcripts_by_company/Fleetcor_Technologies_Inc_2017Q1.txt,2017-02-08,2017-02-08,6.92,2017-02-08,high
34959E10,2017.0,4.0,0.32,0.31,34959E10,FORTINET INC,"Fortinet, Inc.",high,transcripts_by_company/Fortinet_Inc_2017Q4.txt,2017-10-26,2017-10-26,0.28,2017-10-26,high
09367110,2006.0,3.0,-0.41,-0.13,09367110,BLOCK H&R INCORPORATED,"H&amp;R Block, Inc.",high,transcripts_by_company/HandR_Block_Inc_2006Q3.txt,2006-08-31,2006-08-31,-0.41,2006-08-31,high
95790D10,2013.0,3.0,0.83,0.89,95790D10,WESTERN ASSET MORTGAGE CAPITAL C,Western Asset Mortgage Capital Corp,high,transcripts_by_company/Western_Asset_Mortgage_Capital_Corp_2013Q3.txt,2013-08-06,2013-08-06,0.94,2013-08-06,high
22704610,2012.0,4.0,0.04,0.1,22704610,CROCS INC,Crocs Inc.,high,transcripts_by_company/Crocs_Inc_2012Q4.txt,2012-10-24,2012-10-24,0.37,2012-10-24,high
G8827U10,2017.0,4.0,0.41,0.47,G8827U10,THIRD POINT REINSURANCE LTD,Third Point Reinsurance Ltd.,high,transcripts_by_company/Third_Point_Reinsurance_Ltd_2017Q4.txt,2017-11-09,2017-11-08,0.52,2017-11-08,high
G3402M10,2019.0,4.0,0.44,0.36,G3402M10,FGL HOLDINGS INC,FGL Holdings,high,transcripts_by_company/FGL_Holdings_2019Q4.txt,2019-11-07,2019-11-06,0.36,2019-11-06,high
76115210,2007.0,3.0,0.34,0.42,76115210,RESMED INC,ResMed Inc.,high,transcripts_by_company/ResMed_Inc_2007Q3.txt,2007-08-07,2007-08-07,1.59,2007-08-07,high
03037110,2006.0,2.0,0.12,0.13,03037110,AMERICAN VANGUARD CORP,American Vanguard,high,transcripts_by_company/American_Vanguard_2006Q2.txt,2006-05-08,2006-05-08,0.09,2006-05-08,high
G1738710,2017.0,2.0,,,G1738710,BRITVIC PLC,Britvic Plc,high,transcripts_by_company/Britvic_Plc_2017Q2.txt,2017-05-24,2017-05-24,,2017-05-24,high
70825420,2009.0,1.0,-0.02,0.07,70825420,PENNICHUCK CORP,Pennichuck Corporation,high,transcripts_by_company/Pennichuck_Corporation_2009Q1.txt,2009-03-12,2009-03-11,0.56,2009-03-11,high
47783910,2015.0,1.0,0.27,0.13,47783910,JOHN BEAN TECHNOLOGIES CORP,John Bean Technologies Corporation,high,transcripts_by_company/John_Bean_Technologies_Corporation_2015Q1.txt,2015-02-18,2015-02-17,1.56,2015-02-17,high
04638F10,2021.0,4.0,0.01,0.1,04638F10,ASTRONOVA INC,"AstroNova, Inc.",high,transcripts_by_company/AstroNova_Inc_2021Q4.txt,2021-12-08,2021-12-08,0.01,2021-12-08,high
56624R10,2011.0,2.0,0.08,0.05,56624R10,MARCHEX INC,"Marchex, Inc.",high,transcripts_by_company/Marchex_Inc_2011Q2.txt,2011-05-05,2011-05-05,0.06,2011-05-05,high
87612M10,2005.0,4.0,-0.04,-0.06,87612M10,TARGETED GENETICS CORP,Targeted Genetics,high,transcripts_by_company/Targeted_Genetics_2005Q4.txt,2005-11-03,2005-11-03,-0.07,2005-11-03,high
09060C10,2010.0,1.0,,,09060C10,BIO-KEY INTERNATIONAL INC,"BIO-key International, Inc.",high,transcripts_by_company/BIO-key_International_Inc_2010Q1.txt,2010-03-25,2010-03-25,,2010-03-25,high
7800871X,2022.0,2.0,3.0,2.72,7800871X,ROYAL BANK OF CANADA,Royal Bank of Canada,high,transcripts_by_company/Royal_Bank_of_Canada_2022Q2.txt,2022-04-07,2022-05-26,3.0,2022-05-26,high
09940610,2023.0,2.0,1.13,1.23,09940610,BOOT BARN HOLDINGS INC,"Boot Barn Holdings, Inc.",high,transcripts_by_company/Boot_Barn_Holdings_Inc_2023Q2.txt,2023-05-17,2023-05-17,5.62,2023-05-17,high
87101310,2015.0,2.0,,,87101310,SWISSCOM AG,Swisscom AG,high,transcripts_by_company/Swisscom_AG_2015Q2.txt,2015-05-06,2015-05-06,,2015-05-06,high
98980L10,2022.0,3.0,1.05,1.08,98980L10,ZOOM COMMUNICATIONS INC,"Zoom Video Communications, Inc.",high,transcripts_by_company/Zoom_Video_Communications_Inc_2022Q3.txt,2022-08-22,2022-08-22,1.05,2022-08-22,high
14841110,2012.0,1.0,0.29,0.28,14841110,AM CASTLE & CO,A.M. Castle &amp; Co,high,transcripts_by_company/AM_Castle_and_Co_2012Q1.txt,2012-03-01,2012-03-01,0.57,2012-03-01,high
02343610,2011.0,3.0,0.36,0.83,02343610,AMEDISYS INC,Amedisys Inc,high,transcripts_by_company/Amedisys_Inc_2011Q3.txt,2011-08-02,2011-08-02,0.67,2011-08-02,high
72814P10,2022.0,1.0,0.12,0.07,72814P10,PLBY GROUP INC,"PLBY Group, Inc.",high,transcripts_by_company/PLBY_Group_Inc_2022Q1.txt,2022-03-01,2022-03-01,-0.67,2022-03-01,high
67000810,2007.0,2.0,0.45,0.46,67000810,NOVELLUS SYSTEMS,"Novellus Systems, Inc.",high,transcripts_by_company/Novellus_Systems_Inc_2007Q2.txt,2007-04-18,2007-04-18,0.42,2007-04-18,high
63618010,2008.0,3.0,0.52,0.49,63618010,NATIONAL FUEL GAS CO N J,National Fuel Gas Company,high,transcripts_by_company/National_Fuel_Gas_Company_2008Q3.txt,2008-08-08,2008-08-07,0.72,2008-08-07,high
55908010,2017.0,4.0,1.04,1.03,55908010,MAGELLAN MIDSTREAM PARTNERS LP,"Magellan Midstream Partners, L.P.",high,transcripts_by_company/Magellan_Midstream_Partners_LP_2017Q4.txt,2017-11-02,2017-11-02,0.79,2017-11-02,high
89785L10,2021.0,1.0,-0.02,-0.06,89785L10,TRUECAR INC,"TrueCar, Inc.",high,transcripts_by_company/TrueCar_Inc_2021Q1.txt,2021-02-24,2021-02-24,0.19,2021-02-24,high
95825910,2004.0,3.0,0.47,0.69,95825910,WESTERN GAS RESOURCES INCORP,Western Gas Resources Inc.,high,transcripts_by_company/Western_Gas_Resources_Inc_2004Q3.txt,2004-08-05,2004-08-05,0.37,2004-08-05,high
28849P10,2017.0,3.0,0.53,0.63,28849P10,ELLIE MAE INC,"Ellie Mae, Inc.",high,transcripts_by_company/Ellie_Mae_Inc_2017Q3.txt,2017-07-27,2017-07-27,0.51,2017-07-27,high
44133910,2010.0,3.0,-0.14,-0.06,44133910,HOT TOPIC,Hot Topic,high,transcripts_by_company/Hot_Topic_2010Q3.txt,2010-08-18,2010-08-18,-0.14,2010-08-18,high
M2197Q10,2023.0,3.0,0.104,0.05,M2197Q10,CELLEBRITE DI LTD,Cellebrite DI Ltd.,high,transcripts_by_company/Cellebrite_DI_Ltd_2023Q3.txt,2023-08-08,2023-08-08,0.05,2023-08-08,high
70469L10,2017.0,3.0,-0.64,-0.55,70469L10,PEAK RESORTS INC,"Peak Resorts, Inc.",high,transcripts_by_company/Peak_Resorts_Inc_2017Q3.txt,2017-07-13,2017-07-13,0.03,2017-07-13,high
11434010,2017.0,4.0,0.32,0.27,11434010,BROOKS AUTOMATION INC,"Brooks Automation, Inc.",high,transcripts_by_company/Brooks_Automation_Inc_2017Q4.txt,2017-11-09,2017-11-09,1.23,2017-11-09,high
G9319H10,2014.0,3.0,0.82,0.84,G9319H10,VALIDUS HOLDINGS LTD,"Validus Holdings, Ltd.",high,transcripts_by_company/Validus_Holdings_Ltd_2014Q3.txt,2014-09-30,2014-10-29,0.82,2014-10-29,high
00247410,2011.0,1.0,0.73,0.76,00247410,AZZ INC,AZZ incorporated,high,transcripts_by_company/AZZ_incorporated_2011Q1.txt,2011-01-07,2011-01-07,0.77,2011-01-07,high
58392610,2005.0,2.0,-0.06,,58392610,MED-DESIGN CORPORATION,Med-Design,high,transcripts_by_company/Med-Design_2005Q2.txt,2005-05-10,2005-05-10,-0.11,2005-05-10,high
