CUSIP,fiscal_year,quarter,actual_eps,forecast_eps,cusip,eps_name,transcript_name,confidence_level,filepath,transcript_date,eps_date,eps_value,eps_date_from_mapping,confidence_level_from_mapping
35610810,2004.0,4.0,0.19,0.28,35610810,FRED'S INC,"Fred's, Inc.",high,transcripts_by_company/Freds_Inc_2004Q4.txt,2004-11-23,2004-11-23,0.19,2004-11-23,high
58740510,2003.0,2.0,0.72,0.72,58740510,MERCANTILE BANKSHARES CORP,Mercantile Bankshares Corp.,high,transcripts_by_company/Mercantile_Bankshares_Corp_2003Q2.txt,2003-04-23,2003-04-23,0.71,2003-04-23,high
29382R10,2023.0,2.0,-0.02,0.11,29382R10,ENTRAVISION COMMUNICATIONS CORP,Entravision Communications Corporation,high,transcripts_by_company/Entravision_Communications_Corporation_2023Q2.txt,2023-06-08,2023-08-03,-0.02,2023-08-03,high
47580P10,2022.0,2.0,0.57,0.79,47580P10,JELD-WEN HOLDING INC,"JELD-WEN Holding, Inc.",high,transcripts_by_company/JELD-WEN_Holding_Inc_2022Q2.txt,2022-05-02,2022-05-02,0.16,2022-05-02,high
87233Q10,2008.0,3.0,0.72,0.67,87233Q10,"TC PIPELINES, LP","TC PipeLines, LP",high,transcripts_by_company/TC_PipeLines_LP_2008Q3.txt,2008-07-31,2008-07-31,0.47,2008-07-31,high
05969A10,2018.0,1.0,0.25,0.16,05969A10,BANCORP INC,Fifth Third Bancorp,high,transcripts_by_company/Fifth_Third_Bancorp_2018Q1.txt,2018-01-23,2018-01-25,0.71,2018-01-25,high
95754110,2004.0,3.0,0.1,0.1,95754110,WESTELL TECHNOLOGIES INC,Westell Technologies,high,transcripts_by_company/Westell_Technologies_2004Q3.txt,2004-07-22,2004-07-21,0.08,2004-07-21,high
29283F10,2023.0,3.0,0.11,0.08,29283F10,ENGAGESMART INC,"EngageSmart, Inc.",high,transcripts_by_company/EngageSmart_Inc_2023Q3.txt,2023-08-03,2023-08-03,0.08,2023-08-03,high
73172K10,2008.0,4.0,0.42,0.44,73172K10,POLYCOM INC,Polycom Incorporated,high,transcripts_by_company/Polycom_Incorporated_2008Q4.txt,2008-10-15,2008-10-15,0.37,2008-10-15,high
68371210,2022.0,2.0,0.19,-0.16,68371210,OPENDOOR TECHNOLOGIES INC,Opendoor Technologies Inc.,high,transcripts_by_company/Opendoor_Technologies_Inc_2022Q2.txt,2022-05-05,2022-05-05,0.15,2022-05-05,high
J8695711,2015.0,4.0,,,J8695711,TOKYO ELECTRON LIMITED,Tokyo Electron,high,transcripts_by_company/Tokyo_Electron_2015Q4.txt,2015-10-27,2015-10-27,,2015-10-27,high
74251V10,2012.0,2.0,0.72,0.78,74251V10,PRINCIPAL FINANCIAL GROUP INC,The Principal Financial Group,high,transcripts_by_company/The_Principal_Financial_Group_2012Q2.txt,2012-06-06,2012-07-26,0.72,2012-07-26,high
