filepath,cusip,ticker,company_name,eps_actual,eps_forecast
/Users/vazea/Desktop/NNW/transcripts_by_company/FB_FINANCIAL_CORP_2021Q4.txt,30257X10,FBK,FB FINANCIAL CORP,3.97,3.75
/Users/vazea/Desktop/NNW/transcripts_by_company/DOMINOS_PIZZA_INC_2006Q1.txt,25754A20,DPZ,DOMINO'S PIZZA INC,0.39,0.37
/Users/vazea/Desktop/NNW/transcripts_by_company/MEDICINES_CO_2013Q2.txt,58468810,MDCO,MEDICINES CO,0.35,0.35
/Users/vazea/Desktop/NNW/transcripts_by_company/COMPASS_INC_2023Q3.txt,20464U10,COMP,COMPASS INC,-0.08,-0.08
/Users/vazea/Desktop/NNW/transcripts_by_company/8POINT3_ENERGY_PARTNERS_LP_2017Q4.txt,28253910,CAFD,8POINT3 ENERGY PARTNERS LP,0.41,0.51
/Users/vazea/Desktop/NNW/transcripts_by_company/MARKETAXESS_HOLDINGS_INC_2005Q4.txt,57060D10,MKTX,MARKETAXESS HOLDINGS INC,0.2,0.2
/Users/vazea/Desktop/NNW/transcripts_by_company/POLARIS_INC_2007Q4.txt,73106810,PII,POLARIS INC,3.1,3.07
/Users/vazea/Desktop/NNW/transcripts_by_company/AUTOHOME_INC_2022Q1.txt,05278C10,ATHM,AUTOHOME INC,3.47,3.0
/Users/vazea/Desktop/NNW/transcripts_by_company/VIANT_TECHNOLOGY_INC_2021Q4.txt,92557A10,DSP,VIANT TECHNOLOGY INC,-0.63,-0.84
/Users/vazea/Desktop/NNW/transcripts_by_company/WILLIAM_LYON_HOMES_2014Q1.txt,55207470,WLH,WILLIAM LYON HOMES,0.27,0.14
/Users/vazea/Desktop/NNW/transcripts_by_company/ATYR_PHARMA_INC_2022Q1.txt,00212020,LIFE,ATYR PHARMA INC,-0.44,-0.32
/Users/vazea/Desktop/NNW/transcripts_by_company/AMAG_PHARMACEUTICALS_INC_2008Q4.txt,00163U10,AMAG,AMAG PHARMACEUTICALS INC,-4.22,-4.32
/Users/vazea/Desktop/NNW/transcripts_by_company/BG_STAFFING_INC_2018Q4.txt,05544A10,BGSF,BG STAFFING INC,1.79,1.7
/Users/vazea/Desktop/NNW/transcripts_by_company/A_O_SMITH_CORP_2006Q2.txt,83186520,AOS,A O SMITH CORP,0.7,0.6
/Users/vazea/Desktop/NNW/transcripts_by_company/FIRST_MERCHANTS_CORP_2009Q1.txt,32081710,FRME,FIRST MERCHANTS CORP,0.17,0.22
/Users/vazea/Desktop/NNW/transcripts_by_company/FTI_CONSULTING_INC_2023Q3.txt,30294110,FCN,FTI CONSULTING INC,2.34,1.82
/Users/vazea/Desktop/NNW/transcripts_by_company/ABIOMED_INC_2021Q3.txt,00365410,ABMD,ABIOMED INC,1.35,1.14
/Users/vazea/Desktop/NNW/transcripts_by_company/MICROSOFT_CORP_2005Q3.txt,59491810,MSFT,MICROSOFT CORP,0.32,0.32
