ticker,quarter,eps_actual,eps_forecast,transcript_path,cosine_prepared,cosine_qa,nnw_final,has_qa_section
SCSC,2010Q1,0.41,0.44,/Users/vazea/Desktop/NNW/transcripts_by_company/SCANSOURCE_INC_2010Q1.txt,0.020450556271439452,0.24938016146324746,0.7301692822653131,True
NSC,2013Q4,5.85,5.7,/Users/vazea/Desktop/NNW/transcripts_by_company/NORFOLK_SOUTHERN_CORP_2013Q4.txt,0.07406108239703707,0.0939796725910624,0.8319592450119004,False
TRK,2002Q3,0.02,0.02,/Users/vazea/Desktop/NNW/transcripts_by_company/SPEEDWAY_MOTORSPORTS_2002Q3.txt,0.16533588507236993,0.08538729505156187,0.7492768198760682,False
BRLI,2012Q4,1.51,1.5,/Users/vazea/Desktop/NNW/transcripts_by_company/BIOREFERENCE_LABS_INC_2012Q4.txt,0.23457791747831885,0.3339712705701704,0.4314508119515107,True
TDG,2018Q2,3.79,3.65,/Users/vazea/Desktop/NNW/transcripts_by_company/TRANSDIGM_GROUP_INC_2018Q2.txt,0.051479877796407496,0.11287860556496683,0.8356415166386256,True
REED,2017Q4,-1.01,-0.64,/Users/vazea/Desktop/NNW/transcripts_by_company/REEDS_INC_2017Q4.txt,0.23510624319491313,0.19679267740718728,0.5681010793978996,True
FFIV,2021Q3,2.76,2.45,/Users/vazea/Desktop/NNW/transcripts_by_company/F5_INC_2021Q3.txt,0.14400030378811518,0.1806798635583321,0.6753198326535527,True
EQT,2016Q1,0.07,0.02,/Users/vazea/Desktop/NNW/transcripts_by_company/EQT_CORP_2016Q1.txt,0.14084500005016928,0.26836503713311743,0.5907899628167133,True
RLRN,2007Q2,0.08,0.12,/Users/vazea/Desktop/NNW/transcripts_by_company/RENAISSANCE_LEARNING_INC_2007Q2.txt,0.045254151360523104,0.4585369504630321,0.49620889817644476,True
SSNC,2021Q4,5.02,4.97,/Users/vazea/Desktop/NNW/transcripts_by_company/SSC_TECHNOLOGIES_HOLDINGS_INC_2021Q4.txt,0.0914149046714272,0.15961295187612226,0.7489721434524506,True
MS,2019Q1,1.39,1.33,/Users/vazea/Desktop/NNW/transcripts_by_company/MORGAN_STANLEY_2019Q1.txt,0.21804658208801178,0.11500080817748032,0.666952609734508,True
MMC,2007Q3,0.18,0.32,/Users/vazea/Desktop/NNW/transcripts_by_company/MARSH_MCLENNAN_COMPANIES_INC_2007Q3.txt,0.0516489061589242,0.08679445164500857,0.8615566421960672,False
MMPT,2003Q1,0.02,0.03,/Users/vazea/Desktop/NNW/transcripts_by_company/MODEM_MEDIA_INC_2003Q1.txt,0.19593960903238317,0.3358674993069764,0.46819289166064043,True
SMMX,2005Q3,0.19,0.13,/Users/vazea/Desktop/NNW/transcripts_by_company/SYMYX_TECHNOLOGIES_INC_2005Q3.txt,0.21792329322616932,0.16867561900328526,0.6134010877705454,True
APTM,2007Q1,-0.19,-0.2,/Users/vazea/Desktop/NNW/transcripts_by_company/APTIMUS_INC_2007Q1.txt,0.15387874454447006,0.08680214638694699,0.759319109068583,False
RGF,2022Q4,-1.77,-0.73,/Users/vazea/Desktop/NNW/transcripts_by_company/REAL_GOOD_FOOD_COMPANY_INC_2022Q4.txt,0.20147818847965554,0.08578547342756296,0.7127363380927816,False
GDYN,2021Q4,0.36,0.35,/Users/vazea/Desktop/NNW/transcripts_by_company/GRID_DYNAMICS_HOLDINGS_INC_2021Q4.txt,0.24250018442214724,0.040426083977215144,0.7170737316006376,False
