ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
CLEVELAND BIOLABS INC,1.0,-0.24,-0.19,transcripts_by_company/Cleveland_BioLabs_Inc_2009Q1.txt,0.10902808606624603,0.890971913933754
SANDERSON FARMS INC,1.0,-0.14,0.23,transcripts_by_company/Sanderson_Farms_Inc_2007Q1.txt,0.22505523264408112,0.7749447673559189
GREAT ELM CAPITAL CORP,2.0,0.57,0.31,transcripts_by_company/Great_Elm_Capital_Corporation_2018Q2.txt,0.18006667494773865,0.8199333250522614
"KRAFT FOODS, INC.",2.0,0.58,0.53,transcripts_by_company/Kraft_Foods_2008Q2.txt,0.23425331711769104,0.765746682882309
GRAND CANYON EDUCATION INC,2.0,0.45,0.39,transcripts_by_company/Grand_Canyon_Education_Inc_2013Q2.txt,0.1823168396949768,0.8176831603050232
FOREST CITY ENTERPRISES INC,2.0,-0.1,-0.1,transcripts_by_company/Forest_City_Enterprises_Inc_2010Q2.txt,0.15800753235816956,0.8419924676418304
CARDIAC SCIENCE CORP,3.0,0.08,0.05,transcripts_by_company/Cardiac_Science_2007Q3.txt,0.14303390681743622,0.8569660931825638
TELMEX INTERNACIONAL SAB DE CV,2.0,0.13,0.16,transcripts_by_company/Telmex_Internacional_SAB_DE_CV_2010Q2.txt,0.18682889640331268,0.8131711035966873
"NETEASE, INC",2.0,13.88,8.3,transcripts_by_company/NetEase_Inc_2023Q2.txt,0.3254625201225281,0.6745374798774719
MORGAN STANLEY DEAN WITTER,2.0,0.75,0.78,transcripts_by_company/Morgan_Stanley_2016Q2.txt,0.21533219516277313,0.7846678048372269
WATSON WYATT & CO HOLDINGS,1.0,0.44,0.44,transcripts_by_company/Watson_Wyatt_2005Q1.txt,0.3177664875984192,0.6822335124015808
WORTHINGTON INDUSTRIES INC,1.0,0.57,0.65,transcripts_by_company/Worthington_Industries_Inc_2017Q1.txt,0.019943997263908386,0.9800560027360916
EXAR CORP,4.0,-0.04,0.05,transcripts_by_company/Exar_Corp_2011Q4.txt,0.31063076853752136,0.6893692314624786
WD 40 CO,3.0,0.53,0.69,transcripts_by_company/WD-40_Company_2004Q3.txt,0.19487112760543823,0.8051288723945618
PTC INC,3.0,1.2,1.22,transcripts_by_company/PTC_Inc_2023Q3.txt,0.3532220721244812,0.6467779278755188
PHARMERICA CORP,3.0,0.31,0.2,transcripts_by_company/PharMerica_Corp_2011Q3.txt,0.17523811757564545,0.8247618824243546
PENNANTPARK FLOATING RATE CAPITA,1.0,0.29,0.28,transcripts_by_company/PennantPark_Floating_Rate_Capital_Ltd_2022Q1.txt,0.18609406054019928,0.8139059394598007
PFIZER INC,3.0,0.54,0.48,transcripts_by_company/Pfizer_Inc_2006Q3.txt,0.1657687872648239,0.8342312127351761
ARGOSY GAMING CORP,4.0,0.63,0.55,transcripts_by_company/Argosy_Gaming_Company_2004Q4.txt,0.12912927567958832,0.8708707243204117
BLACKBAUD INC,1.0,0.72,0.63,transcripts_by_company/Blackbaud_Inc_2023Q1.txt,0.11472614854574203,0.885273851454258
