ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
POLYCOM INC,4.0,0.42,0.39,transcripts_by_company/Polycom_Incorporated_2007Q4.txt,0.04754975810647011,0.9524502418935299
QUOVADX INC,1.0,-0.06,-0.04,transcripts_by_company/Quovadx_Inc_2007Q1.txt,0.202279195189476,0.797720804810524
CARRIZO OIL & GAS INC,2.0,0.24,0.46,transcripts_by_company/Carrizo_Oil_and_Gas_2011Q2.txt,0.03291911259293556,0.9670808874070644
POLYONE CORPORATION,1.0,0.64,0.75,transcripts_by_company/PolyOne_Corporation_2019Q1.txt,0.41348642110824585,0.5865135788917542
GREAT PANTHER SILVER LTD,2.0,-0.02,0.01,transcripts_by_company/Great_Panther_Silver_Limited_2018Q2.txt,0.30500951409339905,0.694990485906601
BERRY PLASTICS GROUP INC,4.0,0.35,0.35,transcripts_by_company/Berry_Plastics_Group_Inc_2015Q4.txt,0.1392115205526352,0.8607884794473648
"GLATFELTER, PH",2.0,0.06,0.02,transcripts_by_company/Glatfelter_2008Q2.txt,0.17379450798034668,0.8262054920196533
DUCOMMUN INC,2.0,0.16,0.14,transcripts_by_company/Ducommun_Incorporated_2018Q2.txt,0.2547350525856018,0.7452649474143982
FLEETCOR TECHNOLOGIES INC,1.0,1.96,1.89,transcripts_by_company/Fleetcor_Technologies_Inc_2017Q1.txt,0.139256551861763,0.860743448138237
FORTINET INC,4.0,0.32,0.31,transcripts_by_company/Fortinet_Inc_2017Q4.txt,0.31908175349235535,0.6809182465076447
BLOCK H&R INCORPORATED,3.0,-0.41,-0.13,transcripts_by_company/HandR_Block_Inc_2006Q3.txt,0.011384481564164162,0.9886155184358358
WESTERN ASSET MORTGAGE CAPITAL C,3.0,0.83,0.89,transcripts_by_company/Western_Asset_Mortgage_Capital_Corp_2013Q3.txt,0.25342246890068054,0.7465775310993195
CROCS INC,4.0,0.04,0.1,transcripts_by_company/Crocs_Inc_2012Q4.txt,0.24581733345985413,0.7541826665401459
THIRD POINT REINSURANCE LTD,4.0,0.41,0.47,transcripts_by_company/Third_Point_Reinsurance_Ltd_2017Q4.txt,0.05375305935740471,0.9462469406425953
FGL HOLDINGS INC,4.0,0.44,0.36,transcripts_by_company/FGL_Holdings_2019Q4.txt,0.1463816910982132,0.8536183089017868
RESMED INC,3.0,0.34,0.42,transcripts_by_company/ResMed_Inc_2007Q3.txt,0.26060613989830017,0.7393938601016998
AMERICAN VANGUARD CORP,2.0,0.12,0.13,transcripts_by_company/American_Vanguard_2006Q2.txt,0.31922486424446106,0.6807751357555389
PENNICHUCK CORP,1.0,-0.02,0.07,transcripts_by_company/Pennichuck_Corporation_2009Q1.txt,0.2356920838356018,0.7643079161643982
JOHN BEAN TECHNOLOGIES CORP,1.0,0.27,0.13,transcripts_by_company/John_Bean_Technologies_Corporation_2015Q1.txt,0.1785704642534256,0.8214295357465744
ASTRONOVA INC,4.0,0.01,0.1,transcripts_by_company/AstroNova_Inc_2021Q4.txt,0.15046492218971252,0.8495350778102875
MARCHEX INC,2.0,0.08,0.05,transcripts_by_company/Marchex_Inc_2011Q2.txt,0.18518182635307312,0.8148181736469269
TARGETED GENETICS CORP,4.0,-0.04,-0.06,transcripts_by_company/Targeted_Genetics_2005Q4.txt,0.13353519141674042,0.8664648085832596
ROYAL BANK OF CANADA,2.0,3.0,2.72,transcripts_by_company/Royal_Bank_of_Canada_2022Q2.txt,0.13982009887695312,0.8601799011230469
BOOT BARN HOLDINGS INC,2.0,1.13,1.23,transcripts_by_company/Boot_Barn_Holdings_Inc_2023Q2.txt,0.24253715574741364,0.7574628442525864
ZOOM COMMUNICATIONS INC,3.0,1.05,1.08,transcripts_by_company/Zoom_Video_Communications_Inc_2022Q3.txt,0.16399797797203064,0.8360020220279694
AM CASTLE & CO,1.0,0.29,0.28,transcripts_by_company/AM_Castle_and_Co_2012Q1.txt,0.16098134219646454,0.8390186578035355
AMEDISYS INC,3.0,0.36,0.83,transcripts_by_company/Amedisys_Inc_2011Q3.txt,0.26557838916778564,0.7344216108322144
PLBY GROUP INC,1.0,0.12,0.07,transcripts_by_company/PLBY_Group_Inc_2022Q1.txt,0.18407103419303894,0.8159289658069611
NOVELLUS SYSTEMS,2.0,0.45,0.46,transcripts_by_company/Novellus_Systems_Inc_2007Q2.txt,0.2264561802148819,0.7735438197851181
NATIONAL FUEL GAS CO N J,3.0,0.52,0.49,transcripts_by_company/National_Fuel_Gas_Company_2008Q3.txt,0.23239761590957642,0.7676023840904236
MAGELLAN MIDSTREAM PARTNERS LP,4.0,1.04,1.03,transcripts_by_company/Magellan_Midstream_Partners_LP_2017Q4.txt,0.3410312235355377,0.6589687764644623
TRUECAR INC,1.0,-0.02,-0.06,transcripts_by_company/TrueCar_Inc_2021Q1.txt,0.18926188349723816,0.8107381165027618
WESTERN GAS RESOURCES INCORP,3.0,0.47,0.69,transcripts_by_company/Western_Gas_Resources_Inc_2004Q3.txt,0.26385951042175293,0.7361404895782471
ELLIE MAE INC,3.0,0.53,0.63,transcripts_by_company/Ellie_Mae_Inc_2017Q3.txt,0.32756853103637695,0.672431468963623
HOT TOPIC,3.0,-0.14,-0.06,transcripts_by_company/Hot_Topic_2010Q3.txt,0.3228253126144409,0.6771746873855591
CELLEBRITE DI LTD,3.0,0.104,0.05,transcripts_by_company/Cellebrite_DI_Ltd_2023Q3.txt,0.24926842749118805,0.750731572508812
PEAK RESORTS INC,3.0,-0.64,-0.55,transcripts_by_company/Peak_Resorts_Inc_2017Q3.txt,0.2946504056453705,0.7053495943546295
BROOKS AUTOMATION INC,4.0,0.32,0.27,transcripts_by_company/Brooks_Automation_Inc_2017Q4.txt,0.18379956483840942,0.8162004351615906
VALIDUS HOLDINGS LTD,3.0,0.82,0.84,transcripts_by_company/Validus_Holdings_Ltd_2014Q3.txt,0.3470994532108307,0.6529005467891693
AZZ INC,1.0,0.73,0.76,transcripts_by_company/AZZ_incorporated_2011Q1.txt,0.27034369111061096,0.729656308889389
FLUOR CORP,3.0,0.58,0.54,transcripts_by_company/Fluor_Corporation_2002Q3.txt,0.09236794710159302,0.907632052898407
PORTMAN RIDGE FINANCE CORP,3.0,0.06,0.09,transcripts_by_company/Portman_Ridge_Finance_Corporation_2019Q3.txt,0.1492859125137329,0.8507140874862671
COINSTAR INC,2.0,0.39,0.38,transcripts_by_company/Coinstar_Inc_2010Q2.txt,0.22672560811042786,0.7732743918895721
NETFLIX INC,4.0,0.56,0.39,transcripts_by_company/Netflix_2009Q4.txt,0.08200650662183762,0.9179934933781624
CEDAR FAIR LP,2.0,0.79,1.01,transcripts_by_company/Cedar_Fair_LP_2014Q2.txt,0.44730058312416077,0.5526994168758392
AGL RESOURCES INC,2.0,0.4,0.39,transcripts_by_company/AGL_Resources_2007Q2.txt,0.04801043123006821,0.9519895687699318
AUXILIUM PHARMACEUTICALS INC,3.0,-0.08,-0.17,transcripts_by_company/Auxilium_Pharmaceuticals_Inc_2011Q3.txt,0.22949549555778503,0.770504504442215
NPS PHARMACEUTICALS INCORPORATED,3.0,-0.01,-0.04,transcripts_by_company/NPS_Pharmaceuticals_Inc_2013Q3.txt,0.20941485464572906,0.7905851453542709
AMERIS BANCORP,3.0,0.91,0.92,transcripts_by_company/Ameris_Bancorp_2018Q3.txt,0.18209147453308105,0.817908525466919
ROFIN-SINAR TECHNOLOGY INC,2.0,0.82,0.7,transcripts_by_company/Rofin-Sinar_2006Q2.txt,0.10848294198513031,0.8915170580148697
MIDWESTONE FINANCIAL GROUP INC (,1.0,0.53,0.35,transcripts_by_company/MidWestOne_Financial_Group_Inc_2012Q1.txt,0.19480440020561218,0.8051955997943878
BANK OF THE OZARKS INC,3.0,0.4,0.74,transcripts_by_company/Bank_of_the_Ozarks_Inc_2014Q3.txt,0.3577585518360138,0.6422414481639862
OVERSTOCK.COM INC,1.0,-1.21,-0.36,transcripts_by_company/Overstockcom_Inc_2019Q1.txt,0.1853272169828415,0.8146727830171585
LESCO INC,4.0,-1.72,-0.54,transcripts_by_company/Lesco_Inc_2006Q4.txt,0.42056015133857727,0.5794398486614227
ARKANSAS BEST CORP,4.0,0.38,0.16,transcripts_by_company/Arkansas_Best_Corporation_2013Q4.txt,0.12623177468776703,0.873768225312233
DANAHER CORP,2.0,0.94,0.93,transcripts_by_company/Danaher_Corporation_2007Q2.txt,0.1783067286014557,0.8216932713985443
INTERNATIONAL PAPER CO,3.0,1.05,1.22,transcripts_by_company/International_Paper_Co_2013Q3.txt,0.13394571840763092,0.8660542815923691
ARTERIS INC,4.0,-0.18,-0.12,transcripts_by_company/Arteris_Inc_CurrentQ4.txt,0.3664965331554413,0.6335034668445587
WATSON PHARMACEUTICALS INC,4.0,1.59,1.38,transcripts_by_company/Watson_Pharmaceuticals_Inc_2012Q4.txt,0.11514370143413544,0.8848562985658646
WOODWARD GOVERNO,3.0,0.77,0.75,transcripts_by_company/Woodward_Inc_2014Q3.txt,0.1711256057024002,0.8288743942975998
WELLS FARGO  CO,2.0,0.53,0.69,transcripts_by_company/Wells_Fargo_2008Q2.txt,0.04505016654729843,0.9549498334527016
MARINEMAX INC,2.0,0.18,0.45,transcripts_by_company/MarineMax_Inc_2008Q2.txt,0.345329225063324,0.654670774936676
CARDINAL HEALTH INC,3.0,0.86,0.91,transcripts_by_company/Cardinal_Health_2007Q3.txt,0.09785252064466476,0.9021474793553352
FIRSTSERVICE CORP,1.0,0.06,0.09,transcripts_by_company/FirstService_Corporation_2006Q1.txt,0.25193333625793457,0.7480666637420654
BED BATH  BEYOND INC,3.0,0.46,0.55,transcripts_by_company/Bed_Bath_and_Beyond_Inc_2008Q3.txt,0.29258230328559875,0.7074176967144012
HEALTHCARE REALTY TRUST INC,4.0,0.07,0.05,transcripts_by_company/Healthcare_Realty_Trust_2009Q4.txt,0.15399397909641266,0.8460060209035873
FORTRESS INVESTMENT GROUP LLC,2.0,0.09,0.15,transcripts_by_company/Fortress_Investment_Group_2011Q2.txt,0.19248172640800476,0.8075182735919952
CAPITAL PRODUCT PARTNERS LP,2.0,0.04,0.1,transcripts_by_company/Capital_Product_Partners_LP_2014Q2.txt,0.2454594373703003,0.7545405626296997
FIBRIA CELULOSE SA,1.0,1.76,1.16,transcripts_by_company/Fibria_Celulose_SA_2016Q1.txt,0.28418365120887756,0.7158163487911224
CYTOMX THERAPEUTICS INC,3.0,-0.32,-0.57,transcripts_by_company/CytomX_Therapeutics_Inc_2020Q3.txt,0.24973313510417938,0.7502668648958206
SANGAMO BIOSCIENCES INC,2.0,-0.2,-0.23,transcripts_by_company/Sangamo_Biosciences_Inc_2011Q2.txt,0.12146805971860886,0.8785319402813911
OSI SYSTEMS INC,3.0,1.16,1.19,transcripts_by_company/OSI_Systems_Inc_2021Q3.txt,0.26968997716903687,0.7303100228309631
PAYCHEX INC,3.0,0.23,0.24,transcripts_by_company/Paychex_Inc_2004Q3.txt,0.1800699084997177,0.8199300915002823
BRADY CORP,1.0,0.43,0.43,transcripts_by_company/Brady_Corporation_2006Q1.txt,0.102394238114357,0.897605761885643
AMYRIS INC,1.0,-0.66,-0.4,transcripts_by_company/Lyris_Inc_2011Q1.txt,0.32471615076065063,0.6752838492393494
ENDEAVOUR SILVER CORP,4.0,0.09,0.09,transcripts_by_company/ENDEAVOUR_SILVER_CORP_2010Q4.txt,0.2033417969942093,0.7966582030057907
KOPPERS HOLDINGS INC,4.0,0.13,0.51,transcripts_by_company/Koppers_Holdings_Inc_2015Q4.txt,0.38293278217315674,0.6170672178268433
LOOPNET INC,3.0,0.09,0.1,transcripts_by_company/LoopNet_2009Q3.txt,0.17803740501403809,0.8219625949859619
PROS HOLDINGS INC,4.0,0.08,0.07,transcripts_by_company/PROS_Holdings_Inc_2010Q4.txt,0.2023337334394455,0.7976662665605545
METABASIS THERAPEUTICS INC,1.0,-0.3,-0.5,transcripts_by_company/Metabasis_Therapeutics_Incorporated_2006Q1.txt,0.17139406502246857,0.8286059349775314
IPC THE HOSPITALIST COMPANY INC,2.0,0.53,0.62,transcripts_by_company/IPC_The_Hospitalist_Company_Inc_2015Q2.txt,0.20557357370853424,0.7944264262914658
OIL STATES INTERNATIONAL INC,3.0,1.44,1.84,transcripts_by_company/Oil_States_International_2013Q3.txt,0.2120199352502823,0.7879800647497177
DIAMONDROCK HOSPITALITY CO,3.0,0.04,0.08,transcripts_by_company/DiamondRock_Hospitality_Company_2013Q3.txt,0.13934287428855896,0.860657125711441
ELKCORP,3.0,0.51,0.74,transcripts_by_company/ELKCORP_2005Q3.txt,0.1305309683084488,0.8694690316915512
NISOURCE INC,2.0,0.07,0.14,transcripts_by_company/NiSource_Inc_2018Q2.txt,0.08022399246692657,0.9197760075330734
CABLE ONE INC,4.0,4.23,4.74,transcripts_by_company/Cable_One_Inc_2016Q4.txt,0.18796133995056152,0.8120386600494385
ELANCO ANIMAL HEALTH INC,3.0,0.18,0.16,transcripts_by_company/Elanco_Animal_Health_Incorporated_2023Q3.txt,0.32816702127456665,0.6718329787254333
