ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
THL CREDIT INC,4.0,0.36,0.35,transcripts_by_company/THL_Credit_Inc_2015Q4.txt,0.313667893409729,0.686332106590271
AUTONATION INC,1.0,0.75,0.76,transcripts_by_company/AutoNation_2014Q1.txt,0.40765389800071716,0.5923461019992828
BANK OF HAWAII CORP,3.0,0.95,0.92,transcripts_by_company/Bank_of_Hawaii_Corporation_2014Q3.txt,0.11080358177423477,0.8891964182257652
BENCHMARK ELECTRONICS INC,4.0,0.48,0.37,transcripts_by_company/Benchmark_Electronics_Inc_2021Q4.txt,0.29982590675354004,0.70017409324646
PNM RESOURCES INC,4.0,0.15,0.35,transcripts_by_company/PNM_Resources_Inc_2020Q4.txt,0.26209378242492676,0.7379062175750732
DULUTH HOLDINGS INC,3.0,0.18,0.1,transcripts_by_company/Duluth_Holdings_Inc_2020Q3.txt,0.34466928243637085,0.6553307175636292
EGAIN CORP,1.0,-0.05,0.02,transcripts_by_company/eGain_Communications_Corporation_2012Q1.txt,0.166513592004776,0.833486407995224
IROBOT CORP,2.0,-0.1,-0.06,transcripts_by_company/iRobot_Corporation_2009Q2.txt,0.041809357702732086,0.9581906422972679
ENPRO INC,4.0,1.23,1.14,transcripts_by_company/EnPro_Industries_Inc_2021Q4.txt,0.23956772685050964,0.7604322731494904
METRO-GOLDWYN-MAYER INC,4.0,0.25,0.08,transcripts_by_company/Metro-Goldwyn-Mayer_2003Q4.txt,0.44622156023979187,0.5537784397602081
CORENERGY INFRASTRUCTURE TRUST I,3.0,0.12,0.11,transcripts_by_company/CorEnergy_Infrastructure_Trust_Inc_2015Q3.txt,0.24122528731822968,0.7587747126817703
API GROUP CORP,3.0,0.37,0.41,transcripts_by_company/APi_Group_Corporation_2022Q3.txt,0.09498296678066254,0.9050170332193375
NANTHEALTH INC,1.0,-0.06,-0.04,transcripts_by_company/NantHealth_Inc_2020Q1.txt,0.2428804337978363,0.7571195662021637
NOVO NORDISK A/S,1.0,8.78,7.65,transcripts_by_company/Novo_Nordisk_AS_2023Q1.txt,0.25136321783065796,0.748636782169342
SNC-LAVALIN GROUP 'A',3.0,0.3,0.4,transcripts_by_company/SNC-Lavalin_Group_Inc_2022Q3.txt,0.11326923966407776,0.8867307603359222
SOUTHWEST GAS CORP,1.0,1.77,1.67,transcripts_by_company/Southwest_Gas_Holdings_Inc_2019Q1.txt,0.11657428741455078,0.8834257125854492
NETSOL TECHNOLOGIES INCORPORATE,1.0,0.02,0.0,transcripts_by_company/Netsol_Technologies_Inc_2010Q1.txt,0.1386081874370575,0.8613918125629425
SQUARESPACE INC,4.0,0.9,0.09,transcripts_by_company/Squarespace_Inc_2021Q4.txt,0.22426670789718628,0.7757332921028137
HARLEY-DAVIDSON INC,1.0,1.45,1.36,transcripts_by_company/Harley-Davidson_Inc_2022Q1.txt,0.05477789044380188,0.9452221095561981
MACROGENICS INC,3.0,0.28,-0.61,transcripts_by_company/MacroGenics_Inc_2023Q3.txt,0.3439192771911621,0.6560807228088379
WACKER CHEMIE AG,3.0,1.3,0.34,transcripts_by_company/Wacker_Chemie_AG_2020Q3.txt,0.11939758062362671,0.8806024193763733
STRATEGIC EDUCATION INC,2.0,2.06,1.8,transcripts_by_company/Strategic_Education_Inc_2020Q2.txt,0.22697670757770538,0.7730232924222946
SIGMA-ALDRICH CORP,1.0,0.84,0.78,transcripts_by_company/Sigma-Aldrich_Corporation_2010Q1.txt,0.2553029954433441,0.7446970045566559
CBIZ INC,4.0,-0.23,-0.12,transcripts_by_company/CBIZ_Inc_2022Q4.txt,0.2700710892677307,0.7299289107322693
CHURCH & DWIGHT CO INC,1.0,0.92,0.87,transcripts_by_company/Church_and_Dwight_2009Q1.txt,0.18473920226097107,0.8152607977390289
ATLANTIC CAPITAL BANCSHARES INC,2.0,0.58,0.33,transcripts_by_company/Atlantic_Capital_Bancshares_Inc_2021Q2.txt,0.1959696114063263,0.8040303885936737
ENTERASYS NETWORKS INC,3.0,-0.07,-0.05,transcripts_by_company/Enterasys_Networks_Inc_2003Q3.txt,0.11032860726118088,0.8896713927388191
MCGRAW-HILL COMPANIES INCORPORAT,4.0,0.63,0.58,transcripts_by_company/The_McGraw-Hill_Companies_Inc_2011Q4.txt,0.12713409960269928,0.8728659003973007
NEENAH INC,1.0,0.38,0.62,transcripts_by_company/Neenah_Paper_Inc_2008Q1.txt,0.37831738591194153,0.6216826140880585
CHURCHILL DOWNS INC,4.0,0.58,0.84,transcripts_by_company/Churchill_Downs_Incorporated_2016Q4.txt,0.060047902166843414,0.9399520978331566
TIM HORTONS INC,4.0,0.41,0.37,transcripts_by_company/TIM_HORTONS_INC_2007Q4.txt,0.1188439354300499,0.8811560645699501
MERCANTILE BANK CORP,4.0,-0.78,-0.08,transcripts_by_company/Pacific_Mercantile_Bank_2009Q4.txt,0.3754860758781433,0.6245139241218567
MDRNA INC,2.0,-0.34,0.0,transcripts_by_company/MDRNA_Inc_2010Q2.txt,0.3175131678581238,0.6824868321418762
WD 40 CO,1.0,0.31,0.41,transcripts_by_company/WD-40_Company_2005Q1.txt,0.1625455766916275,0.8374544233083725
BELO CORP,3.0,0.27,0.25,transcripts_by_company/Belo_2003Q3.txt,0.0750778391957283,0.9249221608042717
GOLAR LNG LTD,3.0,0.56,0.67,transcripts_by_company/Golar_LNG_Limited_2012Q3.txt,0.17305544018745422,0.8269445598125458
PC CONNECTION INC,1.0,0.23,0.26,transcripts_by_company/PC_Connection_Inc_2013Q1.txt,0.19943316280841827,0.8005668371915817
PENNYMAC MORTGAGE INVESTMENT TRU,4.0,0.55,0.4,transcripts_by_company/PennyMac_Mortgage_Investment_Trust_2018Q4.txt,0.1636749804019928,0.8363250195980072
INFORMATICA CORP,2.0,0.17,0.17,transcripts_by_company/Informatica_Corporation_2008Q2.txt,0.3786030113697052,0.6213969886302948
PHASE FORWARD INC,1.0,0.15,0.13,transcripts_by_company/Phase_Forward_Incorporated_2009Q1.txt,0.362833172082901,0.637166827917099
TIPPINGPOINT TECHNOLOGIES,2.0,-0.54,-0.44,transcripts_by_company/TippingPoint_Technologies_Inc_2004Q2.txt,0.28288981318473816,0.7171101868152618
OMNOVA SOLUTIONS,3.0,0.01,0.15,transcripts_by_company/OMNOVA_Solutions_2002Q3.txt,0.09605570137500763,0.9039442986249924
FRED'S INC,1.0,0.27,0.36,transcripts_by_company/Freds_Inc_2005Q1.txt,0.33356985449790955,0.6664301455020905
TWIST BIOSCIENCE CORP,1.0,-1.13,-0.81,transcripts_by_company/Twist_Bioscience_Corporation_2022Q1.txt,0.2556323707103729,0.7443676292896271
PIKE CORP,3.0,-0.08,0.2,transcripts_by_company/Kesa_Electricals_plc_2009Q3.txt,0.19505557417869568,0.8049444258213043
OPNET TECHNOLOGIES,4.0,0.04,0.06,transcripts_by_company/OPNET_Technologies_Inc_2002Q4.txt,0.34455305337905884,0.6554469466209412
ON SEMICONDUCTOR CORP,2.0,0.42,0.47,transcripts_by_company/ON_Semiconductor_Corporation_2019Q2.txt,0.23538365960121155,0.7646163403987885
