ticker,period,eps_actual,eps_forecast,transcript_path,cosine_prepared,cosine_qa,nnw_final,has_qa_section
SNC-LAVALIN GROUP 'A',3.0,0.3,0.4,transcripts_by_company/SNC-Lavalin_Group_Inc_2022Q3.txt,0.11326923966407776,0.24210137128829956,0.8480811208486557,True
SOUTHWEST GAS CORP,1.0,1.77,1.67,transcripts_by_company/Southwest_Gas_Holdings_Inc_2019Q1.txt,0.11657428741455078,0.10426293313503265,0.8871191188693046,True
NETSOL TECHNOLOGIES INCORPORATE,1.0,0.02,0.0,transcripts_by_company/Netsol_Technologies_Inc_2010Q1.txt,0.1386081874370575,0.10556860268115997,0.8713036879897118,True
SQUARESPACE INC,4.0,0.9,0.09,transcripts_by_company/Squarespace_Inc_2021Q4.txt,0.24942684173583984,0.19293129444122314,0.7675218224525452,True
HARLEY-DAVIDSON INC,1.0,1.45,1.36,transcripts_by_company/Harley-Davidson_Inc_2022Q1.txt,0.05477789044380188,0.3383083939552307,0.8601629585027695,True
MACROGENICS INC,3.0,0.28,-0.61,transcripts_by_company/MacroGenics_Inc_2023Q3.txt,0.3439192771911621,0.0,0.6560807228088379,False
WACKER CHEMIE AG,3.0,1.3,0.34,transcripts_by_company/Wacker_Chemie_AG_2020Q3.txt,0.11939758062362671,0.4008067846298218,0.7961796581745149,True
STRATEGIC EDUCATION INC,2.0,2.06,1.8,transcripts_by_company/Strategic_Education_Inc_2020Q2.txt,0.22697670757770538,0.2565408945083618,0.7641540363430976,True
SIGMA-ALDRICH CORP,1.0,0.84,0.78,transcripts_by_company/Sigma-Aldrich_Corporation_2010Q1.txt,0.2553029954433441,0.12059169262647629,0.7851103954017162,True
CBIZ INC,4.0,-0.23,-0.12,transcripts_by_company/CBIZ_Inc_2022Q4.txt,0.2700710892677307,0.16896596550941467,0.7602604478597641,True
CHURCH & DWIGHT CO INC,1.0,0.92,0.87,transcripts_by_company/Church_and_Dwight_2009Q1.txt,0.18473920226097107,0.22059783339500427,0.804503208398819,True
ATLANTIC CAPITAL BANCSHARES INC,2.0,0.58,0.33,transcripts_by_company/Atlantic_Capital_Bancshares_Inc_2021Q2.txt,0.1959696114063263,0.0,0.8040303885936737,False
ENTERASYS NETWORKS INC,3.0,-0.07,-0.05,transcripts_by_company/Enterasys_Networks_Inc_2003Q3.txt,0.11032860726118088,0.09578689187765121,0.894033907353878,True
MCGRAW-HILL COMPANIES INCORPORAT,4.0,0.63,0.58,transcripts_by_company/The_McGraw-Hill_Companies_Inc_2011Q4.txt,0.12713409960269928,0.22172272205352783,0.8444893136620522,True
NEENAH INC,1.0,0.38,0.62,transcripts_by_company/Neenah_Paper_Inc_2008Q1.txt,0.37831738591194153,0.2393525391817093,0.6633720681071281,True
CHURCHILL DOWNS INC,4.0,0.58,0.84,transcripts_by_company/Churchill_Downs_Incorporated_2016Q4.txt,0.060047902166843414,0.28810667991638184,0.8715344645082951,True
TIM HORTONS INC,4.0,0.41,0.37,transcripts_by_company/TIM_HORTONS_INC_2007Q4.txt,0.1188439354300499,0.294237345457077,0.828538041561842,True
MERCANTILE BANK CORP,4.0,-0.78,-0.08,transcripts_by_company/Pacific_Mercantile_Bank_2009Q4.txt,0.3754860758781433,0.1888531893491745,0.6805037900805474,True
MDRNA INC,2.0,-0.34,0.0,transcripts_by_company/MDRNA_Inc_2010Q2.txt,0.3175131678581238,0.06728416681289673,0.7575555324554444,True
WD 40 CO,1.0,0.31,0.41,transcripts_by_company/WD-40_Company_2005Q1.txt,0.1625455766916275,0.2749384641647339,0.8037365570664405,True
BELO CORP,3.0,0.27,0.25,transcripts_by_company/Belo_2003Q3.txt,0.0750778391957283,0.2689725458621979,0.8667537488043309,True
GOLAR LNG LTD,3.0,0.56,0.67,transcripts_by_company/Golar_LNG_Limited_2012Q3.txt,0.17305544018745422,0.1119207888841629,0.8452849552035332,True
PC CONNECTION INC,1.0,0.23,0.26,transcripts_by_company/PC_Connection_Inc_2013Q1.txt,0.19943316280841827,0.060606006532907486,0.842214984074235,True
PENNYMAC MORTGAGE INVESTMENT TRU,4.0,0.55,0.4,transcripts_by_company/PennyMac_Mortgage_Investment_Trust_2018Q4.txt,0.1636749804019928,0.0,0.8363250195980072,False
INFORMATICA CORP,2.0,0.17,0.17,transcripts_by_company/Informatica_Corporation_2008Q2.txt,0.3786030113697052,0.227805957198143,0.6666361048817635,True
PHASE FORWARD INC,1.0,0.15,0.13,transcripts_by_company/Phase_Forward_Incorporated_2009Q1.txt,0.362833172082901,0.0,0.637166827917099,False
TIPPINGPOINT TECHNOLOGIES,2.0,-0.54,-0.44,transcripts_by_company/TippingPoint_Technologies_Inc_2004Q2.txt,0.28288981318473816,0.18326681852340698,0.7469970852136611,True
OMNOVA SOLUTIONS,3.0,0.01,0.15,transcripts_by_company/OMNOVA_Solutions_2002Q3.txt,0.09605570137500763,0.156104177236557,0.8859297558665276,True
FRED'S INC,1.0,0.27,0.36,transcripts_by_company/Freds_Inc_2005Q1.txt,0.33356985449790955,0.2599349617958069,0.6885206133127213,True
TWIST BIOSCIENCE CORP,1.0,-1.13,-0.81,transcripts_by_company/Twist_Bioscience_Corporation_2022Q1.txt,0.2556323707103729,0.06588547676801682,0.8012916974723339,True
PIKE CORP,3.0,-0.08,0.2,transcripts_by_company/Kesa_Electricals_plc_2009Q3.txt,0.13764643669128418,0.22933083772659302,0.8348482429981232,True
OPNET TECHNOLOGIES,4.0,0.04,0.06,transcripts_by_company/OPNET_Technologies_Inc_2002Q4.txt,0.34455305337905884,0.22437238693237305,0.691501146554947,True
ON SEMICONDUCTOR CORP,2.0,0.42,0.47,transcripts_by_company/ON_Semiconductor_Corporation_2019Q2.txt,0.23538365960121155,0.19308239221572876,0.7773067206144333,True
VECTRUS INC,4.0,1.42,1.21,transcripts_by_company/Vectrus_Inc_2020Q4.txt,0.1383519023656845,0.09941195696592331,0.8733300812542438,True
DANA CORP,2.0,0.35,0.57,transcripts_by_company/Dana_2005Q2.txt,0.3473864495754242,0.19456514716148376,0.698459941148758,True
MITEK SYSTEMS INC,1.0,-0.09,-0.05,transcripts_by_company/Mitek_Systems_Inc_2013Q1.txt,0.18848280608654022,0.25869062542915344,0.7904548481106759,True
WAL-MART STORES INC,1.0,1.61,1.67,transcripts_by_company/Wal-mart_Stores_Inc_2015Q1.txt,0.14451554417610168,0.0,0.8554844558238983,False
PEGASYSTEMS INC,2.0,0.3,0.08,transcripts_by_company/Pegasystems_Inc_2009Q2.txt,0.13937872648239136,0.10548586398363113,0.8707891322672368,True
RAE SYSTEMS INC,4.0,0.01,0.02,transcripts_by_company/RAE_Systems_2004Q4.txt,0.25451669096946716,0.224019855260849,0.7546323597431184,True
MDXHEALTH SA,2.0,-0.3,-0.43,transcripts_by_company/MDxHealth_SA_2023Q2.txt,0.24779929220676422,0.0,0.7522007077932358,False
AVEO PHARMACEUTICALS INC,3.0,0.1,-0.04,transcripts_by_company/AVEO_Pharmaceuticals_Inc_2019Q3.txt,0.2462845742702484,0.17806260287761688,0.7741820171475411,True
EXPEDIA GROUP INC,2.0,1.77,1.57,transcripts_by_company/Pendal_Group_Limited_2019Q2.txt,0.2554430067539215,0.21952363848686218,0.7553328037261963,True
FULL HOUSE RESORTS INC,2.0,-0.07,-0.03,transcripts_by_company/Full_House_Resorts_Inc_2017Q2.txt,0.14590828120708466,0.14811353385448456,0.8534301429986954,True
LA-Z-BOY INC,4.0,0.82,0.36,transcripts_by_company/La-Z-Boy_Incorporated_2020Q4.txt,0.16946755349636078,0.32889029383659363,0.7827056244015693,True
GUIDANT CORPORATION,1.0,0.56,0.52,transcripts_by_company/Guidant_Corporation_2004Q1.txt,0.1366947889328003,0.1387130618095398,0.8626997292041778,True
SIRIUS SATELLITE RADIO INC,2.0,-0.13,-0.11,transcripts_by_company/SIRIUS_Satellite_Radio_2005Q2.txt,0.13589198887348175,0.0,0.8641080111265182,False
AFFILIATED MANAGERS GROUP INC,2.0,2.74,3.37,transcripts_by_company/Affiliated_Managers_Group_Inc_2020Q2.txt,0.17985117435455322,0.32046085596084595,0.777965921163559,True
ANGIODYNAMICS INC,4.0,0.17,0.09,transcripts_by_company/AngioDynamics_2014Q4.txt,0.3041714131832123,0.43089574575424194,0.6578112870454789,True
COMMERCIAL VEHICLE GROUP INC,2.0,0.03,0.2,transcripts_by_company/Commercial_Vehicle_Group_Inc_2013Q2.txt,0.061936598271131516,0.2230205237865448,0.8897382240742445,True
SYMANTEC CORP,4.0,0.44,0.41,transcripts_by_company/Symantec_Corporation_2018Q4.txt,0.17015239596366882,0.16687512397766113,0.8308307856321335,True
MEDNAX INC,3.0,0.86,0.86,transcripts_by_company/MEDNAX_Inc_2014Q3.txt,0.32867926359176636,0.1547674983739853,0.7234942659735679,True
TERNIUM SA,4.0,0.2,1.73,transcripts_by_company/Ternium_SA_2022Q4.txt,0.300746351480484,0.18670137226581573,0.7334671422839165,True
GREIF BROS CORP,3.0,0.44,0.66,transcripts_by_company/Greif_Bros_Corporation_2002Q3.txt,0.25961586833000183,0.25843289494514465,0.7407390236854554,True
KVH INDUSTRIES INC,2.0,0.1,0.17,transcripts_by_company/KVH_Industries_Inc_2007Q2.txt,0.1051439419388771,0.3006632924079895,0.8362002529203891,True
HARVARD BIOSCIENCE INC,2.0,0.06,0.06,transcripts_by_company/Harvard_Bioscience_Inc_2021Q2.txt,0.26674485206604004,0.22218401730060577,0.7466233983635903,True
