eps_name,quarter,actual_eps,forecast_eps,filepath
ZOOM,2011Q1,0.11,0.2,/Users/vazea/Desktop/NNW/transcripts_by_company/ZOOM_TECHNOLOGIES_INC_2011Q1.txt
DYNT,2020Q3,-0.13,-0.04,/Users/vazea/Desktop/NNW/transcripts_by_company/DYNATRONICS_CORP_2020Q3.txt
CIE,2010Q2,-0.12,-0.05,/Users/vazea/Desktop/NNW/transcripts_by_company/COBALT_INTERNATIONAL_ENERGY_INC_2010Q2.txt
S,2009Q2,-0.13,-0.02,/Users/vazea/Desktop/NNW/transcripts_by_company/SPRINT_NEXTEL_CORP_2009Q2_1.txt
PNM,2014Q4,0.24,1.47,/Users/vazea/Desktop/NNW/transcripts_by_company/TXNM_ENERGY_INC_2014Q4.txt
CRTD,2020Q4,-0.96,-1.53,/Users/vazea/Desktop/NNW/transcripts_by_company/CREATD_INC_2020Q4.txt
XOM,2017Q1,0.95,0.94,/Users/vazea/Desktop/NNW/transcripts_by_company/EXXON_MOBIL_CORP_2017Q1.txt
MSTR,2017Q1,1.28,1.48,/Users/vazea/Desktop/NNW/transcripts_by_company/MICROSTRATEGY_INC_2017Q1.txt
BALY,2021Q4,-1.38,1.58,/Users/vazea/Desktop/NNW/transcripts_by_company/BALLYS_CORP_2021Q4.txt
ICLR,2017Q2,1.31,1.29,/Users/vazea/Desktop/NNW/transcripts_by_company/ICON_PLC_2017Q2.txt
VERI,2019Q4,-0.33,-1.72,/Users/vazea/Desktop/NNW/transcripts_by_company/VERITONE_INC_2019Q4.txt
WEX,2022Q4,3.44,13.3,/Users/vazea/Desktop/NNW/transcripts_by_company/WEX_INC_2022Q4.txt
CIFR,2023Q1,-0.03,-0.03,/Users/vazea/Desktop/NNW/transcripts_by_company/CIPHER_MINING_INC_2023Q1.txt
RHP,2020Q3,-2.14,-1.88,/Users/vazea/Desktop/NNW/transcripts_by_company/RYMAN_HOSPITALITY_PROPERTIES_INC_2020Q3.txt
PH,2008Q3,1.49,1.34,/Users/vazea/Desktop/NNW/transcripts_by_company/PARKERHANNIFIN_CORP_2008Q3.txt
HGTY,2023Q2,0.03,0.02,/Users/vazea/Desktop/NNW/transcripts_by_company/HAGERTY_INC_2023Q2.txt
ETON,2023Q1,-0.1,-0.12,/Users/vazea/Desktop/NNW/transcripts_by_company/ETON_PHARMACEUTICALS_INC_2023Q1.txt
PFS,2011Q2,0.25,0.25,/Users/vazea/Desktop/NNW/transcripts_by_company/PROVIDENT_FINANCIAL_SERVICES_INC_2011Q2.txt
CPF,2018Q3,0.52,0.47,/Users/vazea/Desktop/NNW/transcripts_by_company/CENTRAL_PACIFIC_FINANCIAL_CORP_2018Q3.txt
GDOT,2017Q4,0.29,2.12,/Users/vazea/Desktop/NNW/transcripts_by_company/GREEN_DOT_CORP_2017Q4.txt
ROCM,2010Q2,-0.03,-0.02,/Users/vazea/Desktop/NNW/transcripts_by_company/ROCHESTER_MEDICAL_CORPORATION_2010Q2.txt
MCO,2014Q1,1.0,0.92,/Users/vazea/Desktop/NNW/transcripts_by_company/MOODYS_CORP_2014Q1.txt
AZO,2010Q3,4.12,3.58,/Users/vazea/Desktop/NNW/transcripts_by_company/AUTOZONE_INC_2010Q3.txt
GRMN,2021Q3,1.41,1.24,/Users/vazea/Desktop/NNW/transcripts_by_company/GARMIN_LTD_2021Q3.txt
