ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
BOWATER INC,1.0,-0.9,-0.2,transcripts_by_company/Bowater_Incorporated_2003Q1.txt,0.33260586857795715,0.6673941314220428
CREDIT SUISSE GROUP AG,3.0,0.98,1.47,transcripts_by_company/Credit_Suisse_Group_2007Q3.txt,0.2402767688035965,0.7597232311964035
CAMTEK LTD,4.0,-0.02,0.12,transcripts_by_company/Camtek_Ltd_2011Q4.txt,0.33516836166381836,0.6648316383361816
SONIDA SENIOR LIVING INC,2.0,23.49,-1.56,transcripts_by_company/Sienna_Senior_Living_Inc_2021Q2.txt,0.2933551073074341,0.7066448926925659
PENNANTPARK INVESTMENT CORP,3.0,0.26,0.28,transcripts_by_company/PennantPark_Investment_Corporation_2013Q3.txt,0.21904072165489197,0.780959278345108
EDUCATION MANAGEMENT,1.0,0.52,0.51,transcripts_by_company/Education_Management_Corporation_2006Q1.txt,0.15532433986663818,0.8446756601333618
LIQUID HOLDINGS GROUP INC,3.0,-0.09,-0.1,transcripts_by_company/Liquid_Holdings_Group_Inc_2014Q3.txt,0.08486790955066681,0.9151320904493332
CNA SURETY CP,3.0,-1.14,0.21,transcripts_by_company/CNA_Surety_2003Q3.txt,0.2551933228969574,0.7448066771030426
SYNCHRONOSS TECHNOLOGIES INC,4.0,0.06,0.03,transcripts_by_company/Synchronoss_Technologies_Inc_2021Q4.txt,0.2030268758535385,0.7969731241464615
PDI INC,1.0,-0.04,0.06,transcripts_by_company/PDI_Inc_2011Q1.txt,0.19180041551589966,0.8081995844841003
UICI,4.0,0.52,0.46,transcripts_by_company/UICI_2003Q4.txt,0.1205059140920639,0.8794940859079361
CINEDIGM CORP,2.0,-0.14,-0.09,transcripts_by_company/Cegedim_SA_2014Q2.txt,0.30145320296287537,0.6985467970371246
INFUSYSTEM HOLDINGS INC,3.0,0.14,0.03,transcripts_by_company/InfuSystem_Holdings_Inc_2020Q3.txt,0.27163970470428467,0.7283602952957153
SHELL MIDSTREAM PARTNERS LP,2.0,0.32,0.45,transcripts_by_company/Shell_Midstream_Partners_LP_2020Q2.txt,0.4232425093650818,0.5767574906349182
"NETEASE, INC",1.0,7.7,7.58,transcripts_by_company/NetEase_Inc_2022Q1.txt,0.41924938559532166,0.5807506144046783
AMN HEALTHCARE SERVICES  INC,4.0,0.63,0.66,transcripts_by_company/AMN_Healthcare_Services_Inc_2017Q4.txt,0.15227100253105164,0.8477289974689484
ZAFGEN INC,2.0,-0.57,-0.39,transcripts_by_company/Zafgen_Inc_2018Q2.txt,0.03282826021313667,0.9671717397868633
HCI GROUP INC,1.0,1.5,0.03,transcripts_by_company/HCI_Group_Inc_2023Q1.txt,0.20775258541107178,0.7922474145889282
LEAR CORP,1.0,2.28,2.09,transcripts_by_company/Lear_Corporation_2015Q1.txt,0.40394076704978943,0.5960592329502106
ALLIANT ENERGY CORP,1.0,0.3,0.57,transcripts_by_company/Alliant_Energy_2009Q1.txt,0.13227646052837372,0.8677235394716263
ACM RESEARCH INC,3.0,0.23,0.21,transcripts_by_company/ACM_Research_Inc_2018Q3.txt,0.08304667472839355,0.9169533252716064
CAPITAL PRODUCT PARTNERS LP,1.0,0.09,0.11,transcripts_by_company/Capital_Product_Partners_LP_2015Q1.txt,0.19101367890834808,0.8089863210916519
